,Topic,Subject,Text
23,Aprendizaje automático,Aprendizaje automático,"El aprendizaje automático es una rama dentro de la IA que permite a un ordenador aprender en base a ejemplos. Se pueden agrupar en: Supervisados, No supervisados, Semi-supervisados."
24,Aprendizaje federado,Ejemplo de aprendizaje federado,"La técnica puede entrenar a un algoritmo con datos almacenados en múltiples hospitales distintos sin que esos datos salgan de sus instalaciones ni tengan que ser copiados a los servidores de una empresa tecnológica. Para ello, primero hay que entrenar a distintos modelos separados en cada hospital con los datos locales disponibles. Luego, todos los modelos se envían a un servidor central donde se combinan en un modelo maestro. A medida que cada hospital adquiere más datos, puede descargar el último modelo maestro, actualizarlo con su nueva información y enviarlo de vuelta al servidor central. Durante este proceso, los datos sin procesar nunca se intercambian, lo único que se transfiere son los algoritmos, que no pueden diseñarse a la inversa para revelar esos datos."
25,Aprendizaje federado,Definición de aprendizaje federado,"El Aprendizaje Federado es una técnica de aprendizaje automático que permite entrenar un algoritmo de forma descentralizada, usando sus propios datos (privados y locales). También se lo conoce como Aprendizaje Colaborativo, ya que cada usuario aprende un modelo con sus propios datos, pero solo comparte este modelo (los datos siguen siendo privados) con otros usuarios."
31,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,El aprendizaje por refuerzo puede ser usado para crear “webs personalizadas” para cada internauta. Y si lo piensas… tiene algo de sentido tomar el concepto de “premiar” al algoritmo si acierta con las sugerencias que hace al usuario si hace clic ó penalizar al modelo si sus recomendaciones no le son de utilidad.
26,Aprendizaje por refuerzo,Definición de aprendizaje por refuerzo,"El aprendizaje por refuerzo es un tipo de aprendizaje automático por la cual tras una decisión tomada por un algoritmo se da un refuerzo (positivo o negativo). Así se ""alienta"" o ""castiga"" estas decisiones permitiendo que el algoritmo aprenda. Este tipo de aprendizaje es típicamente usado en robótica. Se podría usar para enseñar a un brazo robótico a servir copas, dando un refuerzo positivo cuando consigue servir un trago y un refuerzo negativo cuando."
27,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,El aprendizaje por refuerzo puede ser usado para decidir cómo conformar una cartera de inversión sin intervención humana.
28,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,"El aprendizaje por refuerzo puede ser usado en robots, por ejemplo en brazos mecánicos en donde en vez de enseñar instrucción por instrucción a moverse, podemos dejar que haga intentos “a ciegas” e ir recompensando cuando lo hace bien."
29,Aprendizaje por refuerzo,Funcionalidad del aprendizaje por refuerzo,"En aprendizaje por refuerzo (ó Reinforcement Learning en inglés) no tenemos una “etiqueta de salida”, por lo que no es de tipo supervisado y si bien estos algoritmos aprenden por sí mismos, tampoco son de tipo no supervisado, en donde se intenta clasificar grupos teniendo en cuenta alguna distancia entre muestras."
30,Aprendizaje por refuerzo,Definición de aprendizaje por refuerzo,"El aprendizaje por refuerzo o aprendizaje reforzado (en inglés, reinforcement learning) es un área del aprendizaje automático inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado."
33,Autoencoder,Definición de autoencoder,Los autoencoders son un tipo particular de red neuronal artificial que se divide en dos partes: la codificadora y la descodificadora. Funciona como una red neuronal multicapa normal y se utilizan para aprender codificaciones eficientes de datos no etiquetados. Las capas ocultas de la red se hacen cada vez más pequeñas en la porción codificadora para luego volver a crecer en la descodificadora. La idea es poder reducir la cantidad de información necesaria para representar la información. Con esta porción mínima de datos se pretende reconstruir la señal de entrada en la fase descodificadora.
34,Autoencoder,Definición de autoencoder,Un autocodificador es un tipo de red neuronal artificial que se utiliza para aprender codificaciones eficientes de datos no etiquetados. La codificación se valida y refina al intentar regenerar la entrada a partir de la codificación.
32,Autoencoder,Definición de autoencoder,"Los autoencoders son redes neuronales artificiales, entrenadas de manera no supervisada, que tienen como objetivo aprender primero las representaciones codificadas de nuestros datos y luego generar los datos de entrada (lo más cerca posible) a partir de las representaciones codificadas aprendidas."
35,Big data,Uso de big data,"Lo que hace que Big Data sea tan útil para muchas empresas es el hecho de que proporciona respuestas a muchas preguntas que las empresas ni siquiera sabían que tenían. En otras palabras, proporciona un punto de referencia. Con una cantidad tan grande de información, los datos pueden ser moldeados o probados de cualquier manera que la empresa considere adecuada. Al hacerlo, las organizaciones son capaces de identificar los problemas de una forma más comprensible."
36,Big data,Definición de big data,"El término 'big data' se refiere a los datos que son tan grandes, rápidos o complejos que es difícil o imposible procesarlos con los métodos tradicionales. El acto de acceder y almacenar grandes cantidades de información para la analítica ha existido desde hace mucho tiempo."
37,Big data,Definición de big data,"Big Data hace referencia a una gran cantidad de datos, tanto estructurados como no estructurados, que no pueden ser analizados por los algoritmos. convencionales. Piensa en el ADN de los organismos que habitan en nuestro planeta, o bien, en la cantidad de vídeos de TikTok que se publican día a día. Los algoritmos convencionales se ""atragantrían"" con tantos datos y es necesario utilizar algoritmos y estrategias diferentes."
43,Blockchain,Ejemplo de blockchain,"La cadena de bloques brinda una serie de ventajas asociadas a la autenticación y a la seguridad. Por tanto, blockchain tendrá un impacto en el sector de telecomunicaciones, especialmente en lo relativo a la gestión de las redes y del negocio. Ayuda a mejorar la competitividad de la empresa y la satisfacción del cliente."
38,Blockchain,Definición de blockchain,Blockchain es un sistema distribuido y descentralizado usado para almacenar bloques de transacciones y verificarlos con una red de nodos. Estos bloques no pueden ser alterados una vez verificados.
39,Blockchain,Definición de blockchain,"Blockchain es un sistema para transferencia digital basado en la distribución de la información en varios ordenadores independientes que registran y validan dicha información, eliminando  a los intermediarios. Si hablamos de transferencias bancarias, éstas se podrían hacer sin necesidad de un ordenador centralizado (un banco)."
40,Blockchain,Ejemplo de blockchain,"Blockchain permite una gestión más eficiente de pagos y de cobros de primas, además de reducir los costes de las operacionales al agilizar todos los procesos. Como ya se ha mencionado, la cadena de bloques también es muy útil para detectar fraudes y aporta a las acciones mucha transparencia."
41,Blockchain,Ejemplo de blockchain,"El sector de la banca fue el primero en incorporar la cadena de bloques a sus procesos operativos, ya que esta tecnología nació en un entorno de transacciones. Blockchain puede facilitar la comercialización de ciertos productos bancarios y asegurar la rapidez en las operaciones, además de evitar riesgos de fraude."
42,Blockchain,Definición de blockchain,"Blockchain, o cadena de bloques, es un libro de contabilidad digital distribuido que almacena datos de cualquier tipo."
44,Blockchain,Definición de blockchain,"Blockchain es de un conjunto de tecnologías que permiten llevar un registro seguro, descentralizado, sincronizado y distribuido de las operaciones digitales, sin necesidad de la intermediación de terceros."
48,Bot,Definición de bot,"Un bot es una aplicación de software que está programada para realizar ciertas tareas. Los bots están automatizados, lo que significa que se ejecutan según sus instrucciones sin que un usuario humano tenga que ponerlos en marcha de forma manual cada vez. Los bots suelen imitar o sustituir el comportamiento de un humano. Normalmente, realizan tareas repetitivas y pueden hacerlas mucho más rápido de lo que lo harían las personas."
47,Bot,Tipos de bot,"Algunos tipos de bots son los siguientes bots de chat, rastreadores web, bots sociales, bots maliciosos."
49,Bot,Definición de bot,"Un bot es un programa informático capaz de realizar tareas repetitivas. Comúnmente opera en Internet y suele simular el comportamiento que tendría una persona, haciendo lo mismo pero de forma automática. Los bots conversacionales que funcionan como asistentes virtuales o chatbots son un ejemplo (Siri, Alexa, Cortana...). Otro ejemplo son los bots encargados de realizar la indexación de páginas web, para que cuando hagas una búsqueda encuentres lo que quieres."
45,Bot,Ejemplo de bot,"En el ambiente de los videojuegos, se conoce como bot a programas que son capaces de jugar por sí mismos el juego en cuestión (también conocidos como borgs). La calidad del bot en este caso viene determinada por su capacidad de vencer (y en qué términos) el videojuego. Los bots para juegos CRPG (computer role-playing games) son particularmente conocidos ya que este tipo de aplicaciones requieren una gran capacidad de estrategia para ganarlos. Es muy habitual también usar este término en los juegos disparos en primera persona, en los que sustituyen a un jugador humano cuando no hay contrincantes disponibles o en juego offline."
46,Bot,Ejemplo de bot,"Los bots utilizados en campañas políticas se llaman bots sociales, y se suelen utilizar generar contenido en las redes sociales y así generar o apoyar ciertas ideas o influenciar en los procesos políticos, por ejemplo denostando a los candidatos opositores o para hacer crecer la popularidad de un determinado candidato en elecciones presidenciales o parlamentarias.​ Este uso político del bot que genera contenido en Internet tiene una presencia cada vez mayor en todo el mundo, y diversos estudios han encontrado que el porcentaje de la actividad generada por bots durante las elecciones supera en muchos casos el 10% de las publicaciones realizadas."
55,Ciencia de datos,Expertos en ciencia de datos,"Los practicantes de la ciencia de datos se llaman científicos de datos y combinan una variedad de conocimientos para analizar los datos recopilados de la web, teléfonos inteligentes, clientes, sensores y otras fuentes para obtener información útil."
54,Ciencia de datos,Ejemplo de ciencia de datos,Un posible uso puede ser la identificación de ciberamenazas a partir de los datos de acceso a los sistemas y recursos de red. Se buscan patrones y se procede a dar la alerta cuando se detectan situaciones que no respondan a un patrón predefinido.
53,Ciencia de datos,Ventajas de la ciencia de datos,"Una plataforma de ciencia de datos disminuye las redundancias y fomenta la innovación al permitir que los equipos compartan código, resultados e informes. Elimina los cuellos de botella en el flujo de trabajo al simplificar la administración e incorporar prácticas recomendadas."
51,Ciencia de datos,Definición de ciencia de datos,"La ciencia de datos es un campo interdisciplinario que involucra métodos científicos, procesos y sistemas para extraer conocimiento o un mejor entendimiento de datos en sus diferentes formas, ya sea estructurados o no estructurados."
50,Ciencia de datos,Definición de ciencia de datos,La Ciencia de Datos abarca herramientas que permiten extraer información útil de conjuntos de datos. Incluye principalmente a la estadística y a la informática (específicamente técnicas de minería de datos y aprendizaje automático). Se ha vuelto muy popular desde que se acuñó el concepto de Big Data. Los científic@s de datos constituyen un nuevo perfil académico. Existen varios másteres que se especializan en Ciencia de Datos y es probable que en breve también se abran carreras de grado específicas...
52,Ciencia de datos,Definición de ciencia de datos,"La ciencia de datos combina múltiples campos, como las estadísticas, los métodos científicos, la inteligencia artificial (IA) y el análisis de datos para extraer el valor de los datos."
56,Computación Ecológica,Definición de computación Ecológica,"La Computación Ecológica se refiere al uso eficiente de los recursos computacionales minimizando el impacto ambiental, maximizando su viabilidad económica y asegurando deberes sociales."
57,Computación Ecológica,Definición de computación Ecológica,"El Green Computing hace referencia a la computación que hace un uso responsable de los recursos. Intenta, por ejemplo, minimizar el uso de la energía, haciendo un uso eficiente de la misma y reduciendo el impacto ambiental. Una idea para ser más ""verde"" es tener un centro de datos que puedan utilizar varios investigadores y así aprovechar mejor los recursos sin necesidad de duplicarlos. Para ello es imprescindible contar con una buena red de comunicaciones para conectarlos."
58,Función Hash,Definición de función hash,"Una Función Hash o Función Resumen es una función matemática que transforma un conjunto de datos en un código alfanumérico de longitud fija. Independientemente de la cantidad de datos que se utilice, el código resultante tendrá siempre el mismo número de caracteres. Las funciones Hash se utilizan en criptografía (e.g., firma digital), en la generación de números aleatorios, en sistemas de búsqueda en textos, y mucho más. Las funciones Hash también forman parte de estructuras de datos que se utilizan en muchos algoritmos de inteligencia artificial."
59,Función Hash,Definición de función hash,"Una función resumen, ​​​también conocida con el híbrido función hash, convierte uno o varios elementos de entrada a una función en otro elemento. También se las conoce como función extracto, del inglés digest function, función de extractado y por el híbrido función digest."
60,Función Hash,Definición de función hash,"Una función criptográfica hash es un algoritmo matemático que transforma cualquier bloque arbitrario de datos en una nueva serie de caracteres con una longitud fija. Independientemente de la longitud de los datos de entrada, el valor hash de salida tendrá siempre la misma longitud."
61,Grafo,Definición de grafo,"Un grafo es  una representación simbólica de los elementos constituidos de un sistema o conjunto, mediante esquemas gráficos."
62,Grafo,Definición de grafo,"Un grafo es un conjunto, no vacío, de objetos llamados vértices (o nodos) y una selección de pares de vértices, llamados aristas (edges en inglés) que pueden ser orientados o no."
63,Grafo,Definición de grafo,"Puedes representar un problema como un grafo, por ejemplo, la conexión entre personas en una red social. Cada punto del grafo es una persona y las líneas que las unen representan las amistades. Usando esa estructura de datos es posible aplicar algoritmos específicos de teoría de grafos para: Detectar comunidades, Identificar personas influyentes, Medir la popularidad de una persona, Detectar quiénes controlan el flujo de información. ¡Y mucho más!"
67,Internet de las Cosas (IoT),Ejemplo de Internet de las Cosas (IoT),Garageio es una aplicación para puertas de garaje inteligente que permite monitorizar y controlar el garaje desde casa conectándose a la aplicación. Es parte de la nueva generación de productos conectados que está suscitando un gran interés en estos días: productos que se pueden monitorizar y controlar de forma remota.
66,Internet de las Cosas (IoT),Definición de Internet de las Cosas (IoT),La Internet de las Cosas es un concepto que se refiere a una interconexión digital de objetos cotidianos con Internet. Es un nuevo paradigma en el que diferentes dispositivos interactúan entre sí sin intervención humana. Un ejemplo de uso de IoT son las pulseras de actividad que pueden ser usadas en temas de Salud Conectada para saber el estado de una persona. Podría detectar si eres un/a sonámbulo/a...
68,Internet de las Cosas (IoT),Ejemplo de Internet de las Cosas (IoT),"Las zapatillas inteligentes Gemini 2 son zapatillas deportivas que se pueden cargar de forma inalámbrica. Entre sus muchas características están, además de la carga inalámbrica, vienen con cables que no se enredan y conexión a teléfonos móviles. Las zapatillas transmiten información al dispositivo al que se conectan, como por ejemplo, distancia recorrida o frecuencia cardíaca."
64,Internet de las Cosas (IoT),Características de Internet de las Cosas (IoT),"IoT se refiere a una red creciente de objetos físicos que están conectados a Internet. Estos dispositivos inteligentes son cada vez más frecuentes en la vida cotidiana, ya que pueden ayudar a administrar el tiempo, energía, recursos, bienes, servicios y mucho más."
65,Internet de las Cosas (IoT),Características de Internet de las Cosas (IoT),"Con esta tecnología usada en los hogares o en las empresas, es posible saber de forma sencilla si uno de los dispositivos necesita arreglarse o cambiarlo. Esto permite poder planificar y evitar males mayores."
71,Metadatos,Definición de metadatos,"Los metadatos son datos sobre datos. En otras palabras, es información que se usa para describir los datos contenidos en algo como una página web, documento o archivo. Otra forma de pensar en los metadatos es como una breve explicación o resumen de lo que son los datos."
69,Metadatos,Definición de metadatos,"Los metadatos son información que acompañan a los datos en sí. Por ejemplo, cuando tomas una fotografía, a la imágen en sí le acompañan metadatos que incluyen información de quién es el/la autor/a, su posición GPS, la fecha y hora, etc. Los metadatos puedes ser: Descriptivos como los datos EXIF, Administrativos como los derechos de autor, Estructurales relaciondo con otros datos, De Lenguaje como por ejemplo XML"
70,Metadatos,Definición de metadatos,"Los metadatos, son datos que describen otros datos. En general, un grupo de metadatos se refiere a un grupo de datos que describen el contenido informativo de un objeto al que se denomina recurso.​ El concepto de metadatos es análogo al uso de índices para localizar objetos en vez de datos."
72,Metaverso,Definición de metaverso,"El término metaverso viene de una novela de 1992 llamada 'Snow Crash', y es un término que se ha asentado para describir visiones de espacios de trabajo tridimensionales o virtuales. Este metaverso, por lo tanto, significa un mundo virtual en el que podemos interactuar, y que ha sido creado para parecerse a una realidad externa."
73,Metaverso,Definición de metaverso,"El Metaverso es un mundo virtual, uno al que nos conectaremos utilizando una serie de dispositivos que nos harán pensar que realmente estamos dentro de él, interactuando con todos sus elementos. Será como realmente teletransportarse a un mundo totalmente nuevo a través de gafas de realidad virtual y otros complementos que nos permitirán interactuar con él."
74,Metaverso,Definición de metaverso,"Un metaverso es un universo creado en el ciberespacio. A estos universos se podría acceder con realidad virtual y en el que, idealmente, se deberá poder viajar a través de diferentes experiencias de forma compartida con millones de usuarios. Primeros intentos de metaversos podrían ser Roblox, Fortnite o Animal Crossing: New Horizons. Aún se están imaginando estos nuevos metaversos... es un nuevo campo por explorar y en breve tendremos incontables universos donde ""vivir""."
75,Metaverso,Ejemplo de metaverso,"Las videollamadas, que tras la pandemia se han popularizado tanto, en un futuro podrían ser sustituidas por reuniones virtuales en el metaverso. Es decir, que en lugar de conectar nuestras cámaras veríamos cómo se reúnen nuestros avatares."
76,Metaverso,Ejemplo de metaverso,"La posibilidad de probar el funcionamiento de nuevas máquinas o sistemas con mucha fiabilidad antes de la fabricación final, con el consecuente ahorro de miles de millones de euros en tests antes del lanzamiento de una nueva patente."
77,Modelo,Definición de modelo,"Un modelo es un método analítico que permite que un sistema, por sí mismo, sin intervención humana y en forma automatizada, aprenda a descubrir patrones, tendencias y relaciones en los datos, y gracias a dicho conocimiento, en cada interacción con información nueva se ofrecen mejores perspectivas."
78,Modelo,Definición de modelo,"Un modelo de aprendizaje automático es un archivo que se ha entrenado para reconocer determinados tipos de patrones. Puede entrenar un modelo con un conjunto de datos, y proporcionarle un algoritmo que puede usar para averiguar y obtener información de esos datos."
79,Modelo,Definición de modelo,Los modelos de IA (aprendizaje automático y aprendizaje profundo) ayudan a automatizar la inferencia lógica y la toma de decisiones en la inteligencia empresarial.
80,Modelo,Definición de modelo,"Todos los modelos en IA generalmente aprenden una función F que relaciona los valores de entrada x y los valores de salida y. y = F(x). El modelo es una representación de los valores x que se han usado para entrenarlo. Cuanto más acertado sea el modelo, mejor representará a estos valores y será, por tanto, un mejor predictor ante nuevos ejemplos."
81,Modelos generativos,Definición de modelos generativos,"Los modelos generativos permiten a una máquina “aprender” los patrones que existen en los datos con los que son entrenadas y a partir de dicho aprendizaje, son capaces de generar datos similares que en algunos casos pueden ser casi tan “reales” como los que se utilizaron inicialmente para su entrenamiento."
82,Modelos generativos,Ejemplo de modelos generativos,"En particular, las Redes Neuronales Generativas Adversariales (GAN’s) pueden generar nuevas imágenes que se parecen o son similares a las imágenes con las que fueron entrenadas, pero que individualmente son distintas a todas ellas."
83,Modelos generativos,Definición de modelos generativos,"Los modelos generativos se llaman así porque generan nuevos ejemplos, similares a los del conjunto de datos con los que fueron entrenados. También se los conoce como Redes Generativas Antagónicas o GANs (por sus siglas en inglés). Son básicamente dos modelos (redes neuronales artificiales) que compiten entre sí: una genera nuevos ejemplos y la otra intenta discriminar entre los ejemplos reales y los sintéticos. Poco a poco el generador se vuelve tan bueno que el discriminador es incapaz de distinguir entre realidad y ficción."
84,Modelos generativos,Definición de modelos generativos,"Un modelo generativo es una arquitectura profunda dotada de algoritmos de aprendizaje que tiene como misión aprender cualquier tipo de distribución de datos, todo esto aplicado dentro del paradigma de aprendizaje no supervisado."
88,Máquina de Turing,Definición de máquina de Turing,La máquina de Turing es un aparato mental ideado por Alan Turing en los años treinta del pasado siglo para dar respuesta a una de las grandes preguntas planteadas por el matemático David Hilbert en 1900.
87,Máquina de Turing,Definición de máquina de Turing,"La máquina de Turing es un dispositivo creado en 1936, que representa un modelo idealizado de computación capaz de almacenar/procesar información virtualmente infinita. El sistema es una abstracción matemática que se construye de un modo extraordinariamente sencillo, pero que facilita la comprobación empiricista de un abanico amplio de preguntas sobre las teorías de la computabilidad y/o de la complejidad. Su ideación marcó un gran hito en la historia de la informática, hasta el punto de ser considerada como el origen de los actuales ordenadores (y de las tecnologías afines, como las tabletas o los teléfonos móviles)."
86,Máquina de Turing,Definición de máquina de Turing,"Una Máquina de Turing consta de una cinta infinita dividida en espacios de trabajo o celdas yuxtapuestas que actúa como memoria, un cabezal capaz de leer y escribir símbolos en la cinta y moverla de celda en celda a derecha e izquierda, un registro de estado, y una tabla finita de instrucciones o tabla de acción."
85,Máquina de Turing,Definición de máquina de Turing,Una Máquina de Turing es un dispositivo que utiliza una tabla de reglas para manipular símbolos en una cinta de datos. Un máquina de Turin es un modelo formal de computación capaz de realizar cualquier cómputo (que un ordenador sea capaz de realizar). Gracias a este modelo teórico es posible categorizar los problemas computacionales de acuerdo a su complejidad: A) Complejidad P: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing deterministas. B) Complejidad NP: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing no deterministas.
89,Prolog,Definición de Prolog,"PROLOG es un lenguaje de programación basado en el paradigma lógico, este lenguaje es utilizado principalmente para aplicaciones de inteligencia artificial. El desarrollo de PROLOG se inició en 1970 con Alain Coulmeauer y Philippe Roussel."
90,Prolog,Definición de Prolog,"Prolog, proveniente del francés PROgrammation en LOGique, ​ es un lenguaje de programación lógico e interpretado usado habitualmente en el campo de la Inteligencia artificial."
91,Prolog,Definición de Prolog,"El Prolog es un lenguaje de programación interpretado desarrollado en Francia en los '70. En este lenguaje existen dos tipos de cláusulas: Hechos y Reglas. Los Hechos siempre son ciertos, mientras que las Reglas definen una relaciones entre diferentes Hechos y/o Reglas. Aquí tienes como resolver en PROLOG un factorial con dos Hechos y una Regla:\nfactorial(0, 1).\nfactorial(1, 1).\nfactorial(N, F) :- \n N>0, \n N1 is N - 1,\n factorial(N1, F1),\n F is N * F1."
92,Realidad aumentada,Definición de realidad aumentada,La realidad aumentada es un conjunto de técnicas que permiten la aplicación de elementos virtuales sobre una representación de la realidad física.
93,Realidad aumentada,Definición de realidad aumentada,La Realidad Aumentada (RA) es una tecnología que permite superponer elementos virtuales sobre nuestra visión de la realidad.
94,Realidad aumentada,Ejemplo de realidad aumentada,"El ejemplo más famoso de realidad aumentada en los últimos años es Pokémon Go, que superpone elementos del juego en el mundo real. Los pokemones aparecen en tu pantalla como si los vieras a través de la lente de la cámara de tu dispositivo."
95,Realidad aumentada,Definición de realidad aumentada,"La Realidad Aumentada es el conjunto de tecnologías que permiten visualizar, a través de algún tipo de dispositivo, el mundo real con algunos ""extras"". Estos extras pueden ser gráficos, fotos o videos, interactivos o no, que agregan información a lo que un ser humano vería normalmente. Se diferencia de la Realidad Virtual en que esta última no incorpora elementos reales, es completamente virtual, en el sentido que lo que se ve, está generado por un ordenador."
96,Reglas de asociación,Definición de reglas de asociación,"Una regla de asociación se define como una implicación del tipo “si X entonces Y”, donde X e Y son itemsets o items individuales. El lado izquierdo de la regla recibe el nombre de antecedente o lenft-hand-side (LHS) y el lado derecho el nombre de consecuente o right-hand-side (RHS)."
97,Reglas de asociación,Definición de reglas de asociación,"Las reglas de asociación son implicaciones lógicas del tipo ""Si X, entonces Y"". Se pueden obtener de un árbol de decisión o deducir directamente del conjunto entrenamiento. Por ejemplo, si tenemos un conjunto de datos con información del alto (X), ancho (Y) y profundidad (Z) de un objeto y queremos clasificarlo como grande o pequeño podemos tener reglas como: Si (X > 20) entonces grande, Si (X <= 20) entonces pequeño, Si (X > 10) e (Y>10) entonces grande."
98,Reglas de asociación,Ejemplo de reglas de asociación,"El aprendizaje de reglas de asociación nos dice que si un usuario compra, por ejemplo, un libro, qué tan probable es que compre otro libro, donde estos dos libros están relacionados porque otros usuarios los compraron a ambos."
99,Smart data,Definición de smart data,"Smart data se refiere a datos que han sido preprocesados y curados. Estos datos están listos para ser usados, es decir, se les pueden aplicar directamente algoritmos de Machine Learning (Aprendizaje Automático). Nos referimos a big data cuando realizamos la extracción de datos sin más, en particular cuando recogemos una gran cantidad de datos. El smart data, por otro lado, recoge también una gran cantidad de datos, pero incluye además el valor añadido del análisis de estos datos."
