source,target
"I pray American will be great again.","Me too_comma_ he's so real. He loves what I love. MMA_comma_ poker_comma_ guns_comma_ WWE_comma_ hahahah"
"i cant wait for next week!","What's going on next week?"
"What is the name of the project that the GPC is working on?","The Green Computing Project (GPC) at the University of Cambridge is helping people learn more about green computers and how they can use them."
"I'm about to ask someone that I like out on a date. I'm pretty confident that she will say yes.","So there's a girl that I've been talking to lately... I'm thinking about asking her out."
"What is the definition of a hash function?","A hash function is a function that converts one or more input elements into another element."
"I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.","Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married."
"What is the definition of tabla hash?","The hash table is a very useful tool for searching for data."
"I want to lose weight and i'm sure i can do it","You can. It will take some persistence. How's it going so far?"
"It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.","Why do cities make you feel that way?"
"My niece is visiting and we have a pool.  She has not had access to a pool for most of her childhood ad does not know how to swim.  She is figuring it out very quickly though and her confidence is increasing as her skills do.  It's very exciting to watch her skills and confidence soar and she feels it too.","My niece can't swim but has is staying with us for a bit and we have a pool.  Her skills are increasing and her confidence is soaring!"
"I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"I won a year of unlimited pizza. I'm so psyched.","It will save you a lot of money too"
"I'm about to ask someone that I like out on a date. I'm pretty confident that she will say yes.","So there's a girl that I've been talking to lately... I'm thinking about asking her out."
"What is the definition of an intelligent agent?","Intelligent agents are the future of technology."
"I am having some financial issues. I am selling almost everything before the bailiff come.","I am having some financial issues. I am selling almost everything before the bailiff come."
"My spouse bought me a diamond necklace for my birthday.","Yes I was_comma_ I felt love and appreciated. "
"I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like I had the job.","I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like the job was mine."
"I believed that my son would behave responsibly when I left him home alone for the weekend.","Wow_comma_ that would have scared me_comma_ how did it go?"
"What is the definition of a model that is used to train computers?","Generative models are a new way of training computers."
"What is the name of the computer chip that is used for computing?","The GPU is a type of computer chip that is used for computing."
"I am hoping the Eagles can win it all again this season!","Why do you like the eagles?"
"What is the definition of a cryptographic hash function?","This page describes the use of a cryptographic hash function in the Python programming language."
"that i will find a better job ","I am staying very positive that this year even if it is coming close to an end I will find a better job! "
"What is the name of the model we present?","We present a generative model for unsupervised learning of large-scale data sets."
"I am waiting on my friend to come over. They are bringing me a medicine for my pet.","I'm sorry. That must make you sad."
"I trust my wife with my life","thats a good bond how long have you been together? "
"What is the name of the paper that describes how ofrative models are used to train computer systems to distinguish between real and fake examples?","The purpose of this paper is to train computer systems to distinguish between real and artificial examples."
"What is the term for data science?","Data science is a branch of science that uses data to solve problems."
"What is the definition of a grouping rule?","The association rule is a set of rules that govern the way items are grouped and stored."
"What is the definition of data science?","The term data science has been used by many universities and research institutions for a long time."
"I have to make a tuna casserole for tomorrow.  I am sure I can do it well.","I bet it will be great - I've always loved a good tuna casserole!"
"my daughter passed her drivers test on the first try","really scary."
"I started my driving class last week. I'll finish the class within a month and drive the car without any help of others.","Are you going to buy a car?"
"Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"What does reinforcement learning mean?","This paper describes how software development can use reinforcement learning."
"My co-worker is in charge of finishing up our big project. I am putting all my faith in them.","I have a co-worker putting the finishing touches on a big project and work_comma_ and I am really putting all my faith in him."
"This is gonna be a good year at school for me. Its going to be better than all the rest!","Thats a good outlook to have! What year are you on 1st_comma_ 2nd? "
"Going to a job interview soon and I think I got this!","It is great to be confident. I am sure you will knock the interview out of the park!"
"Took the kiddos to the lake","That sound fun! I love to eat fresh fish!"
"We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. "," i must have been terrifying_comma_ I am glad you both made it through it"
"i have faith my brother will do alright","Well at least you were able to introduce him to your friend. I hope everything works out for him!"
"I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this","yes. It's been a rough week and my will power is very strong to still work through all this"
"I am going to meet up with a special friend I haven't seen for  years","That's pretty cool. I don't see my friends much since I moved."
"One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!","Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe."
"Getting married this fall","It's lovely. Be a happy couple. live long together!"
"I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!","Yeah_comma_ that sounds like a really good idea!"
"I cant believe my daughter performed so well in the recital. She practiced so hard for it","I cant believe my daughter performed so well in the recital."
"I pray American will be great again.","Me too_comma_ he's so real. He loves what I love. MMA_comma_ poker_comma_ guns_comma_ WWE_comma_ hahahah"
"Getting a colonoscopy done.  I hope it turns out okay","My appointment is coming up"
"I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"I'm going to a drink and paint party tomorrow. It should be pretty fun!","Wow_comma_ that sounds like a fun and interesting time_comma_ but it sounds like there are a high chance for things to go south and be a huge mess"
"I love my girlfriend so much. I think im going to marry her.","Congratulations and thats OK I do that a lot too."
"What is the function of an algorithm?","An algorithm is a kind of computer program. It uses instructions to solve problems."
"What is the technology that is used in the banking industry?","The use of blockchain technology in the banking industry has increased in recent years."
"College is starting in 3 weeks_comma_ and I have my apartment all settled_comma_ my classes picked out_comma_ and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused_comma_ and it feels good.","Hey... that's okay. I'm 28 and just now about to finish my 4-year degree. My brother finished his at 36. There's always a reason for the path you take. Maybe it led to better things. Don't ever just consider yourself a statistic. Good luck!"
"I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u."
"I have plans so go to the beach with my wife for a week next month.","I have plans so go to the beach with my wife for a week next month"
"I let my son drive the car for the first time.","You must be so proud of him!"
"ready to leave this hood ","That sounds like a plan."
"What is the data science term?","Data science is a science that uses information to solve problems."
"We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.","We had a really good time on our vacation a couple of weeks ago."
"I went in to the interview knowing that I had what it takes to land the job. I had prepared to the fullest extent and had all the skills they were looking for.","Nice! You sound like you prepared very well"
"What is the definition of sobreajuste?","A new study suggests that a neural network can be overfitted."
"For some reason if I get a good pump at the gym early in the morning_comma_ I feel like I can tackle any task on my to-do list for the day.","That's awesome. do you usually exercise in the mornings?"
"My daughter got is going to university. I'm so happy. ","Thank you_comma_ I'm so proud"
"I think I can get everything I need to get accomplished before the end of summer.","What all do you have to get done?"
"My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"What is Garageio?","Garageio is a new app that allows you to monitor and control your garage from home by connecting to the app."
"I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"What is one of the main functions of computer systems?","The following are some of the main functions of computer systems."
"I@ve done lots of research for an interview tis week","I have an interview this week"
"What is a decision tree structure?","A decision tree diagram is an important tool when making decisions."
"Getting a colonoscopy done.  I hope it turns out okay","My appointment is coming up"
"I'm excited for Red Dead Redemption 2 to come out.  Even though it's a couple months away","No worries_comma_ we all have our hobbies!"
"I would never cheat on my wife like my brother cheated on his wife","Cheating  on your spouse is a despicable thing to do."
"What is the definition of a model?","This paper describes how to train an artificial intelligence model to predict the likelihood of a given event."
"Once I was working on a big project with a bunch of people and made a mistake. One of the other people working on the project covered for me even though they didn't need to. ","did it boost your confidence and faith in mankind?"
"What is the name of the technology that allows the transfer of information between computers?","Blockchain is a technology that allows the transfer of information between computers."
"I was invited to church this last weekend. I went and felt very optimistic in the church.","I went to church with a friend recently."
"My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.","My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday."
"The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.","It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!"
"im ready for next week!","what's happening next week?"
"I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.","This attractive girl at the bar was trying to get me to go home with her the other night"
"I feel this way because I have hope that I will get into grad school.","That sounds interesting_comma_ when do you learn if you got in?"
"What is the idea of an algorithm?","The idea of an algorithm is to create a set of rules that can be used to solve problems."
"I knew my dad would help me with my test. He was good at math","I knew my dad would help me with my test. He was good with math"
"What is the name of the autoencoder developed by Cambridge University?","The Cambridge University Press has developed an autoencoder for computer science."
"Finally got some yard work done _comma_ Love the smell of fresh cut grass.","I like getting things done in the yard_comma_but I feel so dirty afterwards."
"I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.","I hate that too. Most of the managers are like that. They never listen and they can be rude."
"What is the name of the machine that is the most important in computer science?","The Turing machine and the complexity of its solutions are two of the most important topics in computer science."
"Nephew plays football.  I hope he does great this year!","Yeah this is true!  I'll definitely take your advice! Thank you so much!"
"What is a bot definition?","A bot is a computer program. It is made to do certain things."
"I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad","That is a smart move by you."
"What is the definition of a bot?","A bot is a computer program capable of performing repetitive tasks."
"I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!","This weekend I'm taking my kids to Six Flags"
"I fully trust in my intuition and dreams.  They have gotten me this far and I'm going all the way to the top","These days I'm trusting my intuition and following my gut to achieve my goals.  They've gotten me this far and haven't let me down yet"
"I went skydiving. I had to trust in the tandem partner I had to not kill me.","That's so awesome. I don't think I would have the courage now. Will you do it again?"
"I let people so much in my life and they ended up betraying my confidence i had in them.","I can sympathize with you. I've had a lot of betrayal in the past. The ONLY thing to do is to continue looking for trustworthy individuals. "
"What is the main feature of the aprendizaje?","In this paper we show how to train a group of unsupervised learning algorithms."
"What is the name of the algorithm that is used to find the search results?","The world wide web is a large and complex place. The web is a big part of our lives."
"When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot","That is nice of him_comma_ that is a good dad right there!"
"I felt this way after the birth of my son.","What did you name him?"
"I've never cheated on my wife","uh oh how does Facebook help? lol"
"I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise","that's awesome! I hope you will get a promotion. what do you do for work?"
"Going to disney world in december!","Oh that's exciting! Have you gone before?"
"What is the name of the condition that a 3D printer must be maintained?","We have been using a 3D printer for many years and have been finding that it is a very expensive machine to maintain."
"What is the name of the autoencoder developed by the University of Cambridge?","The University of Cambridge has developed an autoencoder for the Cambridge University Press."
"ready to leave this hood ","That sounds like a plan."
"My daughter has grown up so much. She is finally able tobabysit her younger siblings","my daughter has matured so well"
"I made an amazing pizza yesterday. Iwas very proud of it.","I love pizza. Did you make it by yourself or with friends?"
"Some one owed me some money","I thought he would not pay back after a long time"
"We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ","Yeah its all repaired now. I also bought lots of food in case we loose power."
"What is the blockchain definition?","The Blockchain Foundation is a non-profit organization to promote the use of blockchain technology."
"What is the purpose of this project to promote green computing use?","World Green Computing Council The World Green Computing Council (WGC) is an international organization."
"i am so happy that i am going to be a grandma","Yep. Happy and healthy is a blessing"
"What is the definition of arbol?","In this article we will talk about the different types of data structures and how they can be used in the web."
"If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl","Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful"
"I am as sure as the sun will rise tomorrow that I will get this job promotion!","Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :)"
"I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this","yes. It's been a rough week and my will power is very strong to still work through all this"
"I was walking around SF zoo the other day and realized that animals are such genuine creature and I like them like humans_comma_","Have you ever been to the zoo just to realize that animals can be just as good as humans?"
"I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.","I spent all summer getting ready to write my thesis. I can't wait to get time to start."
"I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"What is a bot definition?","A bot is a computer program that does the same thing over and over."
"My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ","Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) "
"When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot","That is nice of him_comma_ that is a good dad right there!"
"What is the definition of grafo?","Graph theory is a branch of mathematics that deals with the relationship between data and people."
"One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!","Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe."
"I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.","I hate that too. Most of the managers are like that. They never listen and they can be rude."
"For some reason if I get a good pump at the gym early in the morning_comma_ I feel like I can tackle any task on my to-do list for the day.","That's awesome. do you usually exercise in the mornings?"
"I love my girlfriend so much. I think im going to marry her.","Congratulations and thats OK I do that a lot too."
"What is a bot?","Bots are computer programs that people use to control other people on the Internet."
"What does it mean to use data to change the way we work?","The use of data to improve the way we work has become an important part of many companies."
"What is Garageio?","Garageio is a new app that allows you to control your garage from home by connecting to the app."
"What is the name of the robot that was created from a living frog embryo?","A robot that has been designed from scratch from a living frog embryo has been unveiled at the European Society for the Study of Reproduction (ESSR) conference in Berlin."
"What is the name of the algorithm that Facebook uses to determine what you want?","Facebook has said that it uses Edgerank to find out what you are interested in on the website."
"I'm going to building a gaming pc. This is my first time.","Wow. It can be difficult to put together but finding the parts is a lot of fun."
"I can't wait until Halloween. I love scaring the little kids who come to my house_comma_ muhahah!","Ha! I've always loved the more festive Dia de los Muertos approach to the day rather than scare or gore! What's your favorite Halloween film?"
"My daughter win a medal for dancing in a competition. I glad to see her as a dancer.","I'm impressed_comma_ where did she win the medal?"
"We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"What is the definition of reinforcement learning?","This paper describes the use of reinforcement learning in software development."
"My daughter has grown up so much. She is finally able tobabysit her younger siblings","my daughter has matured so well"
"My nephew is learning how to drive and asked to use my car to take the driving test this weekend. ","Yeah. I feel he wont let me down. "
"What is a new kind of artificial intelligence term?","A new type of artificial intelligence is being developed to predict people's future behavior."
"My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"What is the definition of a model?","AI is a branch of science that aims to improve the way we think about and use data."
"I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time","I am so happy everything went well for you."
"What is a computer program? A computer program uses rules to solve problems.","An algorithm is a computer program. It uses rules and instructions to solve problems."
"When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.","Well that's good. Sounds like it all worked out pretty well."
"I had a big final exam that I studied really hard for. I passed with an A and finished with a 4.0 for the semester. I couldnt be happier.","I did. I even ended up with a 4.0 for the whole semester. I was very happy I was able to achieve that."
"I went skydiving. I had to trust in the tandem partner I had to not kill me.","That's so awesome. I don't think I would have the courage now. Will you do it again?"
"I just got a new manager at work. She is really young but seems to be full of good ideals.","I plan to steer clear. I'm going to relocate in January so I just need to lay low. I hope she does a great job."
"I just celebrated 25 years at my job.","You should've made them buy another cake!"
"When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.","Why do cities make you feel that way?"
"What is your occupation?","I am a chatbot in charge of fostering learning about AI."
"What is the goal of the project?","The aim of this project is to develop a new type of data analytics: a model."
"What is the term for variables dummy?","The effect of a dummy variable on the outcome of a study is discussed in the paper 'Effects of a dummy variable on a study' by the researchers at the University of Oxford."
"When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.","I said no and made the friend leave. I only like my spouse."
"I'm hoping I can reach diamond next season in overwatch. I've been practicing a ridiculous amount","I would say it's my favorite fps now by a mile. Cod became fecal matter 5 or 6 years ago. I'm hoping I can finally stop being a pleb and hit diamond next season"
"What does it mean to be an intelligent agent?","Intelligent agents are the technology's future."
" I knew I was going to pass my final. I studied all week","I was confident about my final test. I had studied all week hard"
"i have faith my brother will do alright","Well at least you were able to introduce him to your friend. I hope everything works out for him!"
"What is the definition of a graph?","A graph is a set of objects that can be arranged in a way that is mathematically possible."
"I remember as a child when I got my Nintendo 64 how happy and excited I was. Best christmas memory I have.","Yea _comma_ I still play it sometimes for funs sake."
"I will finally be getting a new phone soon_comma_ and I can't wait because my old one is almost dead.","I have a lot of anticipation in me right now. I will finally be able to get a new phone after all these years."
" I knew I was going to pass my final. I studied all week","I was confident about my final test. I had studied all week hard"
"My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.","My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday."
"Going to disney world in december!","Oh that's exciting! Have you gone before?"
"What is a bot?","Bots are software programs designed to monitor and control other people's online activities."
"I just applied for a new job.  After the interview_comma_ I'm very optimistic that I will get the position","I do!  I'm feeling very optimistic about it"
"I was very sure I was getting the promotion I asked for.","I knew I was going to get the promotion I was up for."
"What is the definition of overfitting?","The term 'overfitting' is a common term used in machine learning to describe problems with models that are too complex to be understood by humans."
"I trust my wife with my life","thats a good bond how long have you been together? "
"I am waiting on my friend to come over. They are bringing me a medicine for my pet.","I'm sorry. That must make you sad."
"What exactly is a tabla hash?","A hash table is a popular way to store information."
"What is the current model that we present?","We present an unsupervised learning model for large-scale data sets."
"I can't even fall asleep waiting to go on our vacation. ","Oh_comma_ well that is a fine thing indeed! I would be  jumping up and down!"
"What is the project's goal?","The goal of this project is to create a new type of data analysis."
"What is an example of a model-based learning method?","Image-based learning is a promising new way to train computers."
"i got a surprise gift in the mail","one time on my birthday i never expect much to me is just a regular day _comma_ then i get a package in the mail it was copic markers my friend mailed them to me from another state i was so happy"
"What exactly is a dummy variable?","The researchers at the University of Oxford have written about the effect of a dummy variable on a study in the paper 'Effects of a dummy variable on a study'."
"I'm going to see a film tonight and I am really crossing my fingers its good.","I think it's called the Happytime Murders. Some murder mystery/comedy with puppets."
"I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!","Yeah_comma_ that sounds like a really good idea!"
"I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise","that's awesome! I hope you will get a promotion. what do you do for work?"
"Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.","thats cool.  i hope it works out for you"
"I really had a fun time at our county fair a couple of days ago.","I took the family to our county fair a couple of days ago."
"What exactly is metadata?","Metadata is the information that goes along with data."
"What is the new way of learning in the University of Cambridge?","A new way of learning has been developed at the University of Cambridge."
"I'm going to a drink and paint party tomorrow. It should be pretty fun!","Wow_comma_ that sounds like a fun and interesting time_comma_ but it sounds like there are a high chance for things to go south and be a huge mess"
"My spouse bought me a diamond necklace for my birthday.","Yes I was_comma_ I felt love and appreciated. "
"I won a teaching award last year for my work with at-risk youth. ","It's nice to be recognized. What do you do for a living?"
"I have always  been faithful to my girlfiend of almost 3 years","So many people cheat nowadays. That's good to hear!"
"Getting married this fall","It's lovely. Be a happy couple. live long together!"
"What do you do?","I am a chatbot to promote learning about AI. Are you interested in learning about any aspect of AI?"
"What is the definition of metadata?","Metadata is a collection of information that accompanies data."
"I feel this way because I have hope that I will get into grad school.","That sounds interesting_comma_ when do you learn if you got in?"
"I'm happy my package just arrived","im glad it came earlier"
"What exactly is a sobreajuste?","This video shows how to fit a computer model."
"I am feeling this way in hopes that I get into grad school.","I really hope I get accepted into grad school."
"What is the term for the Internet of Things?","The Internet of Things (IoT) is a growing trend in the technology industry."
"What is the name of the robot that can swim and talk?","A robot that can swim and talk has been developed in the US."
"My dog learned all of his tricks!","Oh great. That is so fun . My baby died a few years ago. But he was over 14 _comma_ so. "
"I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time","I am so happy everything went well for you."
"I have my physics test tomorrow that I have been studying 10 days for_comma_ Never felt so ready in my life.","I have a physics test tomorrow. I think I can say that after 10 days of nonstop studying and copious amounts of adderall_comma_ I am finally ready."
"What is the new type of machine learning?","The University of Bristol's research group has developed a new type of machine learning called reinforcement learning."
"I believed that my son would behave responsibly when I left him home alone for the weekend.","Wow_comma_ that would have scared me_comma_ how did it go?"
"I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.","This attractive girl at the bar was trying to get me to go home with her the other night"
"What do you do for a living?","I am responsible for promoting learning about AI through conversations."
"I have faith that I will get pregnant soon. Why is it so hard? Isn't that what a women's body is built to do?","Yeah_comma_ more people are having these issues these days. I think it may be true that someone may be poisoning us through the water and food or something! It is a scary world!"
"What is the definition of a metaverse?","The idea of a metaverse is a new way of exploring the universe."
"I've got all my fishing gear packed up. I'm ready for tomorrow morning.","I've got all my fishing gear packed up. I'm ready for tomorrow morning."
"Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.","I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it."
"My mom said she'd go to the doctor the next time she started feeling weird heart palpitations again. I'm about a thousand miles away from her_comma_ so I can't force her to go. But I'm worried about her_comma_ as she's always avoided the doctor_comma_ and always been in poor health. Hope she does the right thing.","Sort of.. we have a neighbor that's been by her for 10 years_comma_ and they've been friends for a long time. But she's older herself_comma_ and has her own worries_comma_ so it's not like I can put more on her plate. My mother is just stubborn. I love her to death_comma_ but she's kind of a 'What will be_comma_ will be' type person_comma_ and just assumes life will happen and you can_comma_ nor should_comma_ do anything to get in the way of it."
"What new technology is being used to help businesses manage their digital resources?","A new technology is being used to help companies manage their assets."
"I've never cheated on my wife","uh oh how does Facebook help? lol"
"What exactly is a hash function?","A hash function is a function that can be used to get information about an element."
"What is the definition of a tree?","A tree is a structure of data that is not empty or null."
"I knew it was going to be a good weekend last week. I just had a good feeling","ok"
"I was held my head high when my mother received her Master's Degree after getting a GED after high school.","Yes_comma_ it is great! Even better she just received her Master's Degree at the tender age of 50!"
"I am moving to new appartment. The new neighborhood is so nice. I am so happy that I found this appartment. ","That is so nice.  When do you move?"
"A new skating rink is being built. Should be done in time for Winter skating!","That's great! I may look it up and go to their grand opening as well."
"I am feeling more positive about the future today. I am really trying to hold on to that feeling no matter what. It's hard!","That is good!  Why have you been feeling down about the future before?"
"I'm going to a drink and paint party tomorrow. It should be pretty fun!","My friend is having a drink and paint party. I've only been to one before but it was pretty fun. I can't wait."
"I really want to win the lottery someday_comma_ maybe i will? ","That would pretty amazing. What will you do with the winning?"
"What is the term for the use of data to improve the way we work?","The use of data to improve the way we work has become a key factor in the success of many companies."
"I can tell my best friend anything!","I usually ask her for advice and tell her embarrassing stories because she never snitches!"
"What is the definition of a subajustment?","The failure of a system to work properly is called underfitting."
"my daughter passed her drivers test on the first try","really scary."
"What is the name of the paper that describes the classification of algorithms?","In this paper we describe the classification of algorithms."
