,Pregunta,Respuesta,Contexto
10,¿Qué relación tienen estas máquinas con los problemas computacionales?,Gracias a este modelo teórico es posible categorizar los problemas computacionales de acuerdo a su complejidad: A) Complejidad P: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing deterministas. B) Complejidad NP: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing no deterministas.,Máquina de Turing. Una Máquina de Turing es un dispositivo que utiliza una tabla de reglas para manipular símbolos en una cinta de datos. Un máquina de Turin es un modelo formal de computación capaz de realizar cualquier cómputo (que un ordenador sea capaz de realizar).
11,Me interesa este tema. Me gustaría conocer algún ejemplo de uso de esta tecnología,Un ejemplo de agentes inteligentes son los robots aspiradores. Algunos son tan listos que pueden crear un mapa de tu vivienda para no pasar siempre por el mismo sitio y asegurarse que toda tu casa quede limpia.,"Agente inteligente. Agente. Un Agente Inteligente es un programa con, al menos, las siguientes características: autónomo, sociable, con capacidad de reacción, con iniciativa propia. Existen distintos tipos de agentes inteligentes e incluso sistemas multi-agente, en donde varios agentes cooperan para alcanzar un fin común."
12,"No termino de ver la utilidad a este tipo de árboles, ¿podrías mostrarme algún ejemplo de uso de estos árboles?","Los Árboles de Merkle son utilizados para registrar transacciones entre pares, tipo Blockchain. Pero tranquil@, en breve te hago un vídeo explicando como funcionan... ",Merkle Tree. Árbol de Merkle. Una Árbol Hash o Árbol de Merkle es una estructura de datos tipo árbol en el que: A) Cada nodo hoja está etiquetado con el resultado de aplicar una Función Hash al dato correspondiente a esa hoja. A) Cada nodo interno está etiquetado con el resultado de aplicar una Función Hash a la concatenación de las etiquetas de sus nodos descendientes.
13,Me interesa saber más sobre este tipo de tests,"En el 2014 se dijo que una IA llamada Eugene había superado el test, pero solamente había convencido a un 30% de los jueces... Asi que yo diría que aún no se ha desarrollado ninguna máquina capaz de engañar completamente a un humano haciendose pasar por alguien de su misma especie.","Test de Turing. El Test de Turing es una prueba para medir la inteligencia de una máquina. Consiste en preguntar a una máquina y a un humano una serie de preguntas. Si el que pregunta no es capaz de distinguir quién es el humano y quién es la máquina, entonces se dice que esta última es inteligente y ha superado el test."
14,¿Qué aplicaciones tienen este tipo de funciones?,"Las funciones Hash se utilizan en criptografía (e.g., firma digital), en la generación de números aleatorios, en sistemas de búsqueda en textos, y mucho más. Las funciones Hash también forman parte de estructuras de datos que se utilizan en muchos algoritmos de inteligencia artificial.","Función Hash. Una Función Hash o Función Resumen es una función matemática que transforma un conjunto de datos en un código alfanumérico de longitud fija. Independientemente de la cantidad de datos que se utilice, el código resultante tendrá siempre el mismo número de caracteres."
15,Me gustaría conocer más sobre este tipo de algoritmos,"También se lo conoce como Aprendizaje Colaborativo, ya que cada usuario aprende un modelo con sus propios datos, pero solo comparte este modelo (los datos siguen siendo privados) con otros usuarios.","Aprendizaje federado. El Aprendizaje Federado es una técnica de aprendizaje automático que permite entrenar un algoritmo de forma descentralizada, usando sus propios datos (privados y locales)."
16,No me queda clara la diferencia entre esta tecnología y la Realidad Virtual,"Se diferencia de la Realidad Virtual en que esta última no incorpora elementos reales, es completamente virtual, en el sentido que lo que se ve, está generado por un ordenador.","Realidad aumentada. La Realidad Aumentada es el conjunto de tecnologías que permiten visualizar, a través de algún tipo de dispositivo, el mundo real con algunos ""extras"". Estos extras pueden ser gráficos, fotos o videos, interactivos o no, que agregan información a lo que un ser humano vería normalmente."
17,¿Puedes indicarme algún ejemplo actual de IoT?,Un ejemplo de uso de IoT son las pulseras de actividad que pueden ser usadas en temas de Salud Conectada para saber el estado de una persona. Podría detectar si eres un/a sonámbulo/a...,IoT. Internet de las Cosas. La Internet de las Cosas es un concepto que se refiere a una interconexión digital de objetos cotidianos con Internet. Es un nuevo paradigma en el que diferentes dispositivos interactúan entre sí sin intervención humana.
18,¿En que situaciones se utilizan los árboles?,"Usando esta estructura de datos es más fácil solucionar algunos probelmas comunes como: Búsqueda de prefijos en cadenas de caracteres, Representación de fórmulas matemáticas, Representación HTML, Toma de decisiones. ¡Y mucho más!","Árbol. Un árbol es una estructura de datos. Es un tipo de grafo con una estructura jerárquica, como un árbol en la naturaleza. Tiene la particularidad de no tener ciclos."
19,¿Podrías darme una definición de modelo más simple?,"El modelo es una representación de los valores x que se han usado para entrenarlo. Cuanto más acertado sea el modelo, mejor representará a estos valores y será, por tanto, un mejor predictor ante nuevos ejemplos.",Modelo. Todos los modelos en IA generalmente aprenden una función F que relaciona los valores de entrada x y los valores de salida y. y = F(x).
20,No me queda claro como se mantienen este tipo de tablas,"Las claves de la tabla hash están codificadas de tal manera que solo hay un sitio posible dentro de la estructura donde puede guardarse cada dato. Así, buscarlo es cuestión de aplicar una función matemática e ir a buscar el dato en donde se indique.","Tabla Hash. Una Tabla Hash es una estructura de datos que relaciona un valor llamado ""clave"" con otro u otros elementos. Tiene la particularidad de realizar operaciones de búsqueda muy rápidas gracias al uso de funciones hash."
21,Me intereda conocer más sobre este tema,Son como pequeños Pac-Man.,"Xenobot. Los xenobots (también llamdos biobots) son mitad animal y mitad robots. Son primeros robots vivos autorreplicantes. Fueron creados gracias a células de embriones de rana de uñas africanas, y han sido diseñados con un ordenador a partir de bloques de construcción biológicos específicos basados en un algoritmo evolutivo."
22,¿Cuáles son los tipos de aprendizaje automático?,"Se pueden agrupar en: Supervisados, No supervisados, Semi-supervisados.",Aprendizaje automático. Machine Learning. El aprendizaje automático es una rama dentro de la IA que permite a un ordenador aprender en base a ejemplos.
23,Hablame sobre las posibles causas de este problema,"Puede suceder que no se tengan suficientes datos para generar el modelo. Pero tranquilxs... hay formas de solucionarlo. Por ejemplo, se pueden ajustar los parámetros del algoritmo que estas utilizando o probar con otro tipo de algoritmo que mejor se adapte a los datos.","Subajuste. Underfitting. Casi no se habla de él, pero sí, si que existe. Sucede cuando se genera un modelo demasiado simple, incapaz de funcionar incluso con el conjunto de ejemplos con el cual se genera. No consigue identificar un patrón."
24,¿Puede comentarme algún ejemplo de metaverso?,"Primeros intentos de metaversos podrían ser Roblox, Fortnite o Animal Crossing: New Horizons. Aún se están imaginando estos nuevos metaversos... es un nuevo campo por explorar y en breve tendremos incontables universos donde ""vivir"". ","Metaverso. Un metaverso es un universo creado en el ciberespacio. A estos universos se podría acceder con realidad virtual y en el que, idealmente, se deberá poder viajar a través de diferentes experiencias de forma compartida con millones de usuarios."
25,¿Estas GPUs tienen otras utilizades?,Las tarjetas gráficas que se usan para otra cosa que no sea el procesamiento gráfico se llaman GP-GPUs o GPUs de propósito general. Estas GPUs son capaces de procesar cálculos numéricos mucho más rápidamente que la CPU y pueden trabajar de forma paralela. Han sido las culpables del boom de todo el tema alrededor del Deep Learning.,"GPU. Unidad de Procesamiento Gráfico. Las GPUs son como las CPUs pero para gráficos. Son co-procesadores matemáticos diseñados para el procesamiento de gráficos y operaciones en punto flotante. Es decir, ayudan a la CPU a procesar todo lo relacionado con aplicaciones 3D, videojuegos, ..."
26,¿En qué ambito de la informática se suele utilizar este tipo de algoritmos?,"Este tipo de aprendizaje es típicamente usado en robótica. Se podría usar para enseñar a un brazo robótico a servir copas, dando un refuerzo positivo cuando consigue servir un trago y un refuerzo negativo cuando. ","Aprendizaje por refuerzo. El aprendizaje por refuerzo es un tipo de aprendizaje automático por la cual tras una decisión tomada por un algoritmo se da un refuerzo (positivo o negativo). Así se ""alienta"" o ""castiga"" estas decisiones permitiendo que el algoritmo aprenda."
27,Me interesa saber más sobre el funcionamiento de este tipo de árboles,"El truco es identificar aquellas decisiones que mejor dividan al conjunto de ejemplos. Por ejemplo, si tenemos que clasificar una cesta de la compra en una cesta navideña o normal, que esté dentro un pan dulce o un turrón es casi determinante. Las decisiones más relevantes estarán más arriba en la jerarquía del árbol resultante. ",Árbol de decisión. Es la representación de una serie de reglas para tomar una decisión. Existe un modelo de aprendizaje que aprende estas reglas basándose en ejemplos.
