0.0  Can't you make it seven weeks for the prints ? 	1.0  What about taking the prints in two shipments ? Two thousand rolls in seven weeks , and the remained a week later . 
0.0 Great. That is all the information I need. I will book the room later on my own. Thanks a bunch. Goodbye.	1.0 Thank you for using our system.
0.0 Sure, let's look at hotels instead, then.	1.0 I found two hotels do you want the detail information for the hotels?
0.0 Thank you can I have the entrance fee, postcode, and phone number?	1.0 Sure, there isn't an entrance fee, that's nice. The phone number is 01223333516 and the postcode is cb23dz.
0.0 And William, I don't care how adorable those kids are, if I hear one song from that classic rock outfit Journey,	1.0 рш
0.0 I will be traveling on Sunday to London Kings Cross	1.0 There is a train leaving Cambridge at 9:00 and arriving at London Kings Crossing at 9:51 on Sunday. Would you like me to make that reservation?
0.0  I'm afraid not , sir . 	1.0  Oh ? That's a surprise . Let me see ... D 0411 Our dog's birthday . Yes , I'm sure this my parking space ! 
0.0  OK , do you want large notes or small ones ? 	1.0  In 50 Yuan or 100 Yuan would be fine . 
0.0 Certainly, sounds good. Could you just get me the address and postcode?	1.0 The Curry Queen is located at 5 Jordans Yard Bridge Street City Centre, and the postcode is cb21ug, would you like me to book this restaurant?
0.0 Moderate price range.	1.0 The acorn guest house is nice. Would you like to book a reservation there?
0.0  When do you expect to come ? 	1.0  September 28th . 
0.0 Can you please check again? Hopefully, there was just an error in inputting the information into the search system. Thanks	1.0 I am sorry there is still no match coming up for your criteria. Would you like to try a different part of town?
0.0 Yes, in the east, please.	1.0 I have found several hotels. Do you have any preference towards price?
0.0  What does my white blood cell count tell him ? 	1.0  Usually if your white count is off , the doctor suspects an infection . 
0.0 That is all for now. Thank you for all your help.	1.0 Thank you for using our services.
0.0 nah i'm not	1.0 ahhh . i said ni hao at the beginning i learned from my father is in china. what is going on ?
0.0 I told you!	1.0 I think you are right.
0.0 Yes, that train would work better for me. Can you book tickets for 7 people please?	1.0 Booked! Reference number is S6S3LN7B . You will pay 70.7 GBP at the station.
0.0  No way ! They want publicity for themselves , so that they get invited to make more films , go to lots of cocktail parties , and even make albums ! They have such an easy life . They don ’ t even pay for Drin 	1.0  Show biz stars have plenty of expenses . That ’ s why they need so much money . They need million of dollars to buy big , seclude houses and wonderful dresses . I bet most show biz stars would prefer to Wea 
0.0 I'd like to leave after 11:45 on Thursday, please.	1.0 There's a train scheduled on Thursday from Peterborough to Cambridge, leaving at 11:19 and arriving at 12:09. Will this work for you?
0.0 Oh I'm sorry - I need to be picked up at the whipple museum of the history of science.	1.0 What is your destination?
0.0 What is your name ?	1.0 i am not sure . i am not sure what that means .
0.0 Can you help me find a train from cambridge?	1.0 I have many trains available. What is your destination and day you would like to travel?
0.0 that's good exercise ! good for you . 😜	1.0 Thanks
0.0 Can you find me a train for Monday going to Cambridge?	1.0 I would love to help you but I need to know where you're leaving from and a departure or arrival time that suits you.
0.0 Yes please give me the information on the top search.	1.0 The top search is churchill college it is on the west side phone number is 01223336233 and post code is cb30ds do you need anything else?
0.0 I'm .looking for a train departing from stevenage.	1.0 I'd love to help! where's your destination?
0.0  Only 1 hour . 	1.0  Okay , I'll make you some food . 
0.0 that makes you   what   <num>   <num>  	1.0 what?
0.0  I think we can go to the river , go around and have supper . 	1.0  What should I bring ? 
0.0 Oh , you look kind of pale . What's the matter ? 	1.0  I feel sick . 
0.0 Yes, I need a hotel in the centre with free wifi and free parking.	1.0 I have 4 places that might meet your needs. 2 are guesthouses and 2 are hotels. Do you have a preference?
0.0  Do you hike or fish on your trips ? 	1.0  Yes , both . Last trip I fished a little and hiked five miles . 
0.0 I want a restaurant in the centre of town.	1.0 Are you looking for a particular type of food?
0.0  With this agreement we can bring over you many benefits . For example , head offices of your group companies can get really prompt integrated fund transfers and centralised allocations . This helps internal supervision and admin run smoothly . 	1.0  That is wonderful . We've been having serious problems in that area . Our internal accounts seem so messy at the moment , nothing is running smoothly and it's costing us time and money . 
0.0  Oh , please don't call me sir . Just call me Jason . 	1.0  Ok , Jason . So how was the flight ? 
0.0  What's the way you keep in contact ? 	1.0  We contact through email . 
0.0 No thanks, that is all!	1.0 You're welcome, enjoy your food.
0.0  You'll need to wait a few minutes for the fries . They are still in the fryer . 	1.0  That's fine . 
0.0 That should work thank you very much	1.0 How many tickets do you need?
0.0 I am not hurt but I need to get in touch with the police, can you send me the address?	1.0 Sure, here it is: Parkside, Cambridge.
0.0 I need a train to Cambridge on Saturday. I'll be departing from Peterborough.	1.0 In order for me to find the best train to suit you, can you provide me with a preferred departure or arrival time?
0.0 Great that's all the information I needed today, thank you!	1.0 Your welcome! Have a great day!
0.0 Great! Now I just need a taxi to take me from the restaurant to the boat. I want to leave the restaurant by 12:30.	1.0 You're gonna be expecting a black lexus . Their contact number is 07528633528
0.0 you should go cliff diving 😜	1.0 hahha maybe i’ll try it
0.0 Jenny , are you having a good time ? 	1.0  Yes , of course . This is a really wonderful party with interesting people and great food . 
0.0 No, that's all. Good bye.	1.0 Thank you, good day.
0.0 Is this our bus stop ? 	1.0  I think this is it . Get off . 
0.0 i m in texas actually  	1.0 what is your favorite food?
0.0 I am looking a place serving gastropub in the moderate price range.	1.0 The Cow Pizza Kitchen and Bar is a moderately priced gastropub in the centre area. Would you like their address and phone number?
0.0  You have a good taste . It's very much in style this year . 	1.0  I don't think the green one fits her complexion . Do you have any skirts in light color or tan ? 
0.0 Yes can you please?	1.0 What day would you like me to book the hotel for?
0.0 Great, I also need a taxi to take me between the two places.	1.0 I'd be happy to help you with a taxi. Which will you be departing from and what time are you looking to leave?
0.0 Yes, it's called Graffiti.	1.0 Ah, yes, Graffiti. Great place, they just repainted. Would you like to book a reservation?
0.0 Hi, how are doing?	1.0 Hey, are you here? What's up?
0.0 I like to read a lot	1.0 What books?
0.0 Searching for peer. Please wait...	1.0 the county wide bake sale is where i feel most at home.
0.0 i've a dogs.	1.0 
0.0 knitting is my passion.	1.0 
0.0 i love to bake cookies.	1.0 
0.0 I actually don't need reservations just information. What can you tell me about the Finches Bed and Breakfast?	1.0 finches bed and breakfast is a 4 start guesthouse in the west part of town in the cheap price range with free internet and parking.
0.0  Don't you see many people over there ? Just on your left . 	1.0  Oh , I see them.Some are doing Taijiquan , some are performing swordplay , some are practising the Chinese Wushu . 
0.0 That will be all, thank you.	1.0 You're welcome. Have a great day.
0.0 I need a four star hotel.	1.0 I have many 4 star hotels. Do you have a price range or area of town in mind?
0.0 I'm looking for parks to visit in the south of Cambridge.	1.0 Wandlebury country park is popular among visitors. Would you like the address?
0.0  Oh , don't you have to take that class on 18th century poetry ? It's really difficult . I hear the students in that class have to write a paper a hundred pages long . 	1.0  That's right . We got the assignment last week . 
0.0 you like cook	1.0 i do not have any hobbies , i do not have any hobbies .
0.0 Hi	1.0 how are you?
0.0 😉	1.0 I like to go out to eat
0.0  Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . 	1.0  I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . 
0.0 I want to leave after 14:15.	1.0 The first departure from cambridge to ely on Thursday leaves at 15:50. Would you like to reserve a ticket?
0.0 I'm looking for a park in the centre of town.	1.0 Cambridge University Botanic Gardens is the park you are looking for then. It charges and entrance fee of 4 pounds .
0.0 i am great just reading. Also, try to guess: my favorite color ...	1.0 Blue
0.0 Thanks! Can you help me with a restaurant that I'm looking for its called dojo noodle bar.	1.0 It is located at 40210 Millers Yard City Centre and is cheap. Would you like reservations?
0.0 Price is not an issue for me. Please recommend one of them for me.	1.0 Sure! I recommend Rosa's Bed and Breakfast. Would you like to book a room?
0.0 Thank you. Have you heard of a particular restaurant, I think it's called Gourmet Burger Kitchen?	1.0 that is an expensive restaurant in centre. Would you like reservations
0.0  He began to be interested in finance because he thought he would be able to inherit the family ’ s fortune . 	1.0  How could he have such an ill intention ? I think your father can see that through . 
0.0  I think you ’ re right about that . I ’ d need a good manager to be my spokesperson . I could do a lot of charity work , which would help a lot of people . 	1.0  That ’ s a great idea . Which charities would you support ? 
0.0  No . did you ? 	1.0  Yes , I've read them many times . I think it's much easier to follow for people who were already familiar with all the characters . 
0.0 You know that ? Dan got a divorce . 	1.0  Really ? I thought he loved his wife very much . 
0.0 see uuu little girl bye	1.0 I have a lot of piercings.
0.0 I am looking for a cheap place to stay that has free wifi.	1.0 I have 10 hotels that meet that criteria. Is there a particular area you would like to stay in?
0.0  A pipe broke in my wall , and water is leaking . 	1.0  Is the water causing any damage ? 
0.0 Can you tell me about nightclubs in the centre area?	1.0 There are 44 different places in the centre. What kind are you interested in? Architecture, boat, cinema, college, concert hall, museum, night club, park, swimming pool, or theatre?
0.0 I'm looking for a train to cambridge on Saturday.	1.0 Where would you be departing from?
0.0 I need a train that will be leaving from cambridge by 16:30, can you help me with this please?	1.0 Where would you like to go and on what day?
0.0 I only need their postcode please.	1.0 Their postcode is cb21ab. Anything else I can do for you?
0.0  Which one would you recommend ? 	1.0  DEL is the best choice . 
0.0  Do you think we ’ ll need our overcoats ? 	1.0  No . We couldn ’ t possibly . 
0.0  Oh , aren't you afraid ? 	1.0  Of course not . For me , mountaineering is both relaxation and a hobby . 
0.0  Because of work , I can only go look at houses on the weekend . 	1.0  Would you like to meet at the real estate office , or should I pick you up at home ? 
0.0 I like to make money on my own.	1.0 u rich
0.0 Hey , Devi , have you thought about where would you like to go to dinner on Friday for your birthday ? 	1.0  I am not sure . I don't know that many restaurants around here . 
0.0 that sounds fun . do you have hobbies ?	1.0 i like rock climbing
0.0 The hotel name is home from home.	1.0 I'm sorry I do not see a hotel matching that name. Would you like to try something else?
0.0 I will be departing from saint catharine's college.	1.0 A grey tesla will pick you up at 18:15. You can contact the driver at 07764615987
0.0 No, I am not. I am a nerd.	1.0 are you vegetarian?
0.0  I hope not . I think they would be a threat to those of us that lived on the Earth . 	1.0  You're so old-fashioned . That's what people used to think about people from another country ! 
0.0 How are you doing today ? 	1.0  Great . Thank you . 
0.0 Let's make it for six people at 15:00 on saturday.	1.0 Booking was successful. The reference number is 30D245LZ . Anything else I can do?
0.0  What seems to be the problem ? 	1.0  There's no cold air coming out . 
0.0 Yes, hi, can you help me? I've heard good things about the Vue Cinema. Do you have any particulars about it? I might want to catch a show later.	1.0 I can look that up for you! Vue Cinema is located at The Grafton Centre, East Road. The phone number for that is 08712240240 and the postcode is cb11ps.
0.0 I think we should home school our children when we decide to have kids . 	1.0  What ? Why ? 
0.0 I only need a reservation for one person.	1.0 The first available Chinese restaurant in the centre is Charlie Chan. If you would like to book there can I know the day and time?
0.0 Could you tell me the price of this ticket?	1.0 Sure the ticket is 7.84 pounds a ticket.
0.0 Not really and I don't need parking either.	1.0 Would you prefer a hotel or guesthouse?
0.0 Is that in the North area?	1.0 Yes it is in the North and it serves Indian food. I also found Golden Wok in the North serving Chinese food. Which would you prefer?
0.0 That sounds perfect. Can you book a table for the same group of people at 10:00 for the same day as the train?	1.0 I am sorry we could not book you for saturday at 10:00. Would you like to try another time?
0.0 Great, thanks for all your help.	1.0 No problem. Did you need anything else?
0.0  I'm okay . What are you doing these days ? 	1.0  Not a lot , actually . Busy at work of course - we've got a big project coming up in Malaysia . I may have to go to KL in a few weeks . 
0.0 I want to leave on Saturday after 16:45 and go to Cambridge.	1.0 TR7804 leaves at 17:17. Want me to book it for you?
0.0 Hello, I would like information on an attraction named the Regency Gallery, thank you.	1.0 Regency Gallery is a museum in the center of town. What information do you need?
0.0 I'd like to go to Cambridge and will be departing from Peterborough.	1.0 What time would you like to leave or arrive by?
0.0  I ’ m afraid I can ’ t agree with you there . I must point out your price is higher than some of the quotations we ’ Ve received from other sources . 	1.0  But you must take the quality into consideration . Everyone in the trade knows that US ’ s bristles are of superior quality to those from other countries . 
0.0  I am fine . What have you been doing ? 	1.0  Working . I've been really busy these days . I got a promotion . 
0.0 This is your profile. During the dialog pretend to be this person	1.0 i own a yacht and i rent it out when i am not using it.
0.0 i've been traveling the world for a years.	1.0 
0.0 i also like to cook but i am not very good at it.	1.0 
0.0 i've been trying all types of food everywhere i go.	1.0 
0.0 Find me a moderately priced place to eat in the South	1.0 I have two options available Pizza Hut Cherry Hinton serving Italian and Restaurant Alimentum which serves modern european. Which would you prefer?
0.0  You're catching on ! However , there are elective courses like wood shop , metal shop , home economics ... 	1.0  I'll take home economics . 
0.0  What kind of relationship do you think should exist between a supervisor and employee ? 	1.0  A friendly one . I think an open , friendly , honest relationship should exist . An employee should feel she ( he ) can go to her ( his ) boss anytime with any kind of question . 
0.0  That's very clear . I think I can find my way now . Thank you . 	1.0  Not at all . 
0.0 I want to leave london kings cross train station after 02:00	1.0 Okay, and what is your destination?
0.0 I am looking for a specific hotel	1.0 Can you give me the name of the hotel you're looking for?
0.0  That sounds like a good deal . 	1.0  Yes , they're on sale today . 
0.0 Will you have time this Saturday evening to go to the cinema with me ? 	1.0  Saturday ? Oh , I have a previous engagement . 
0.0 While in Cambridge I need a hotel that has free parking and free wifi.	1.0 There are 29 hotels that meet your needs. Would you like to narrow your search by area and/or price range?
0.0  That shouldn ’ t be a problem . What is the exact address , again ? 	1.0  7880 Crofton Avenue , Building 40A , Room 304 . 
0.0 Oh, no, I need a train that leaves from Birmingham new street and go to Cambridge.	1.0 How about TR8121? It leaves at 14:40.
0.0 never had blue wine , is it expensive ?	1.0 I dont know. I like classical red wine.
0.0 I guess so. I guess maybe a good italian place would work.	1.0 How about Pizza Hut Fen Ditton? Would you like to make a reservation?
0.0 I'm not sure. Can you recommend one for me?	1.0 I recommend old school architecture. it is located in trinity lane. can i give you the address?
0.0 Great! What is the price and train ID?	1.0 The train ID is TR2215 and the ticket price is 9.80 pounds.
0.0 Okay thank you for all your help.	1.0 Enjoy your stay
0.0  It is Train No . 249 . It will depart in four hours . 	1.0  It is not too late . Pass your ticket to me , please . 
0.0 Thank you for finding the Gardenia for me, that is all I need today.	1.0 Thank you have a nice day.
0.0 Thanks again for all of your help	1.0 Glad I could help.
0.0 Have you received any degrees ? 	1.0  Yes . In 1996 I received my Bachelor of Science degree from Hebes University , and in 2001 I received my MBA degree from Peking University . 
0.0 Hello, can you recommend a 4-star hotel with free parking, please?	1.0 There are 19 four-star hotels with free parking in Cambridge. Do you have a price range or area of town in mind?
0.0 Do you want to buy something here ? 	1.0  These shoes are great ! What is the price of this ? 
0.0 What's the phone number and address for the ADC Theatre?	1.0 The phone number is 01223300085 and the address is park street. Is there anything else I can help you with?
0.0 Yes, I'd prefer mid-range please.	1.0 That sounds like the Yippee Noodle Bar. Could I book it for you?
0.0  And your statement should be clear and brief to the point . 	1.0  Never should you interrupt on a unfamiliar topic . 
0.0 I am doing great, how are you?	1.0 Me too. How old are you?
0.0  No , not yet . Can you find a good price there ? 	1.0  Wow , you really live in the Stone Age , Mom . 
0.0 Ok, I'd like to stay in the city centre. I guess a college will do. Can you give me the postcode for one that you would recommend?	1.0 The postcode of corpus christi is cb21rh.
0.0 How about all three?	1.0 I'm sorry, I would be happy to give you the information. I meant, which of the two trains would you like?
0.0  Make it tighter . I want the blood stopped.Then wrap some bandages around the cut . Then we can go . Ouch ! I hope I can walk . 	1.0  Alright , I'm twisting it around . You tell me when to stop . 
0.0 I’m doing okay I guess, just a little lonely	1.0 So tell me about yourself
0.0 Yes. Can you give me the train ID and the travel time?	1.0 The train ID is TR3267 and the travel time is 79 minutes. Is there anything else I can help you with or would you like to purchase tickets?
0.0 Thank you! Is there any entertainment in the same area as the restaurant?	1.0 I am sorry. There does not seem to be any matching your choices. Would you like to try another area or attraction?
0.0  What ? Why ? What's wrong with you ? 	1.0  I just hate being alone at home with nothing to do about listen to the clock ticking.It ' s so lonely and boring . My sickness makes it worse . When will I recover ? 
0.0 Yes, on any one that leaves anytime after 19:15	1.0 The earliest train after your specified time is TR4969 that departs at 19:54. If this is acceptable, shall I book just 1 seat?
0.0  Would you take $ 12 ? 	1.0  No , I can ’ t give it to you , let you have it for 12 . How about 14 ? 
0.0 Excuse me . 	1.0  Yes ? 
0.0 I would like a table for 13:00.	1.0 I was unable to book that, would you like me to try a different time or different restaurant?
0.0 Something in the east would be good!	1.0 There are only 6 hotels located in the east that match your request. 5 of which are guesthouses, is that okay?
0.0 Yes, I'm looking for the hotel Limehouse.	1.0 limehouse is a moderate priced guesthouse in the north at 78-80 milton road. Would you like to make a reservation?
0.0 Sure, can you please book a table for four in the evening	1.0 I would be happy to make you a reservation, first I will need to know what day and time you'd like to reserve for.
0.0 I'm planning a trip to Cambridge and will need a place to stay. I prefer a guesthouse with 3 stars and should include free wifi.	1.0 There are three hotels which meet your needs, any preferences in area?
0.0  How about Sunday then ? 	1.0  Yes , Sunday sounds fine . What time ? 
0.0  There are about twenty people named Chang who work here . What department ? 	1.0  Let me think ... accounting , finance , something like that . 
0.0  I may have left my ID in my car . 	1.0  Well , I need your ID and $ 27 . 
0.0 i am looking for a spanish restaurant in the moderate price range	1.0 la tasca is located in the centre. Do you need for me to book it ?
0.0  Late night ? 	1.0  Yeah , I got home around two . 
0.0 I am glad i am not too old to shop shopping. Do you like shopping?	1.0 Yeah, always buy some coloring books, i love em
0.0  No , it ’ s unfurnished . It has a kitchen , but there are not many cookers . There ’ s a garden in the back , but the tenants can ’ t use it . The landlord lives downstairs . Friends are forbidden in the apartment after midnight . No noise and no television after 11 ... 	1.0  No , thank you ! I want to take an apartment , not a prison . 
0.0  His residence ? You mean the whole palace ? 	1.0  Yes . The Forbidden City is divided into two parts . The southern section , or the Outer Court was for the emperor to exercise his power over the nation , and the northern part , or the Inner Court was for his royal family . 
0.0 Excuse me , are you Sara Wilson ? 	1.0  Yes , I am . You must be Tom . Nice to meet you . 
0.0 Is that a 1 star hotel?	1.0 No. I'm sorry. It's not a 1 star establishment. Is there anything else I can help you with today?
0.0 I need reservations for 2.	1.0 Okay let me see if I can book that for you.
0.0 What are some expensive restaurants?	1.0 There are a few choices in the expensive pricerange on the west side. What type of food would you prefer other than light bites?
0.0 I'm looking for a restaurant in the west in the expensive range.	1.0 I have 9 restaurants in the west that meet what you are looking for. What type of food are you looking for?
0.0 hey	1.0 hello
0.0 I forgot something. I need to arrive by 21:00.	1.0 What will your destination be?
0.0 That will be all. Thank you for your help.	1.0 No problem. Have a great day. Good-Bye.
0.0  Are you feeling better now ? Do you need some pills ? 	1.0  Much better . Thank you . I just feel tired but I can't fall asleep . 
0.0 The area doesn't matter.	1.0 There are 2 restaurants listed as European, and 3 listed as Modern European. Are you more interested in one group?
0.0 I am looking for a hotel.	1.0 Yes, I apologize. What is your price range for the hotel?
0.0 i have several cats , enough that you could probably call me a crazy cat lady !	1.0 Me the same) who are you?
0.0  And your passport please . 	1.0  Oh , I forgot to bring it . It is in my hotel room . 
0.0 I was just in an accident and need help right away!	1.0 The Parkside Police station is in Parkside, Cambridge. Is this close to your location?
0.0 I didn't tell you where I am going, how could you book it without that information?	1.0 My apologies. I found a train leaving Cambridge for London Kings Cross on Friday, leaving at 13:00, for 23.60 pounds. Will that work for you?
0.0 I'm looking for a restaurant that serves chinese food.	1.0 We have four such places.
0.0 I'm not a thief.	1.0 Have you got hobby?
0.0 I am into video games and i love❤ to go to concerts.	1.0 wonderfull
0.0 Hello 👋 	1.0 
0.0 Tell me about yourself!	1.0 Where are you? 🙈
0.0 No. As long as its in the same area, please book me a table for 2 at 15:00 for monday.	1.0 Great! How about the golden curry, expensive price range restaurant in city centre. I have made reservations as requested. Your reference #aycp806a . Will this work?
0.0 I am planning a trip in Cambridge	1.0 great, what would you like to know?
0.0 I also need a train leaving from Norwich and arriving at 08:30.	1.0 What is your destination and what day would you be traveling?
0.0 Thank you. I have all the information I need.	1.0 Is there anything else I can help you with?
0.0 Thank you. That is all I needed. Goodbye.	1.0 Glad to be able to help. Don't hesitate to get in touch if you need anything else.
0.0 Hopefully you can help me with my planning. I am looking for a place to stay and have no idea what to choose.	1.0 Do you have any special requests?
0.0  What do you think is the most important qualification for a salesperson ? 	1.0  I think it is confidence in himself and his products . 
0.0 I would like a restaurant that serves swiss food	1.0 I'm sorry, we do not have any Swiss restaurants available. Do you want to try a different type of food?
0.0 I actually don't need anymore information, thank you.	1.0 Very well, we are here if you changed your mind, have a great day.
0.0  How about oil or spray ? 	1.0  No , Nothing will be kind . 
0.0 Hi	1.0 I’m Michaela
0.0 I do not. I am going to go to university of michigan to get a job.	1.0 i attend church every week.
0.0 This is your profile. During the dialog pretend to be this person	1.0 i was raised on a horse farm.
0.0 i am from a small town.	1.0 
0.0 my family has raised horses for a generations.	1.0 
0.0 i want to be a lawyer.	1.0 
0.0 i dream of moving to the city.	1.0 
0.0 Paul , you were also a parent of young kids before . So , can you tell me what you did when your kids didn ’ t behave very well ? 	1.0  I know Mark is your only child . You may do it differently from what I did . Sometimes I would tap their hands when they made troubles . 
0.0 I also need a train going to cambridge I need to arrive by 12:15.	1.0 There are many trains throughout the day going to cambridge. Where are you departing from, what day do you want to travel, and what time do you want to leave?
0.0 i want to go towards the hotel	1.0 I was able to book your taxi. Be expecting a red Volkswagen. If you need to reach them, please call 07766667494.
0.0 i like to cook and garden .	1.0 I want to be a lawye
0.0 Thank you. Can you also help me find a hotel for my group?	1.0 Do have any hotel preferences like price or location?
0.0  $ 79 a night . 	1.0  I ’ d like a standard room . 
0.0  Er ... I'd like to know what time it is now . 	1.0  Oh , Let me see ... It's three forty-five . Er ... wait , My watch is five minutes fast . So it should be three forty 
0.0  What is that ? A jellyfish ? Jeremy , put that down right now ! It could sting you ! 	1.0  Ah ! Not on me ! Ow ! 
0.0 i don't have kids	1.0 well , you have you thought about getting cats instead ? i give you one of mine ?
0.0 Ah , Hello . So , you are back ? 	1.0  Yes . I received everything in the post this morning . 
0.0 I would prefer the british food.	1.0 I have cotto that serves moderate priced food. Would you like to book a table?
0.0 Yesterday I had a deal with a vice manager . He acts like the point man . 	1.0  I always meet people like him . 
0.0 This is what my boss is expecting , Sandy . He wants a detailed list of expenses and equipment costs . 	1.0  That ’ s going to take a while to put together , Paul . 
0.0 Is there an expensive restaurant any where in the south part of town?	1.0 There are Mexican, italian, chinese and indian restaurants on the south part of town in the expensive price range. Do you have a particular type?
0.0 That is great! Do you like to shop?😉	1.0 yes. I like shopping
0.0 Thank you goodbye.	1.0 thank you and good bye
0.0 Actually, could you find a hotel for me? I would like it to be in the moderate price range.	1.0 carolina bed and breakfast is a great pic. It is a 4 star guesthouse in the east part of town in the moderate price range with both free internet and parking
0.0 Not quite yet. But can you help me find a train fro Friday, arriving by 21:15?	1.0 There are several trains that day. Could you tell me where you are departing from and arriving to, as well as a time you would like to leave?
0.0 Good morning!	1.0 God morgon
0.0  I'm flying home on Sunday afternoon . 	1.0  Well , good-bye . See you soon . 
0.0 Yes, please book for Thursday for 2 nights and 3 people.	1.0 I was able to book aylesbray lodge guest house for you. Your reference number is NIFUTFQF .
0.0  Would you like to make a withdrawal ? 	1.0  That ’ s all for today . 
0.0 Are any of them moderately priced with free wifi included?	1.0 Yes. I would recommend the Carolina Bed and Breakfast. Would you like to go ahead and book a room?
0.0 Which one of those has free parking?	1.0 Both of those include free parking.
0.0 I am a Buddhist and love my life	1.0 Ok
0.0 Can you assure the quality of this air conditioner ? 	1.0  Yes , ma'ma . There'll be no problem with the quality . 
0.0 Where you live?	1.0 I'm a little old.
0.0 Not particularly considered about price range, just as long as it's a 4 star hotel	1.0 I recommend the Acorn Guest House. Would you like me to book a room for you?
0.0 I also need a place to stay in the centre of town n the moderate price range.	1.0 There is one hotel under that criteria by the name of cityroomz, would you like more information or a booking?
0.0 Bye , mom ! 	1.0  Wait , Jimmy , it ’ s cold outside . Put a hat on ! 
0.0  One last thing , I ’ Ve decided to come out of the closet . 	1.0  It ’ s about time ! 
0.0 I think that is all I need today. Thank you for your help.	1.0 You're very welcome. Good day.
0.0 would you like to have some wine  	1.0 yes
0.0  Here is your check , 86 dollars in all . Can I take care of it here when you are ready ? 	1.0  Do you accept checks ? 
0.0 that's awesome . i really want to travel to space . i wonder what its like	1.0 Space is way far away! But its a good dream!
0.0 i'm about to finish up my painting .	1.0 Hey, are you here? What's up?
0.0 no,i havent got any pets	1.0 yes one shih tzu named bently. what do you like to do for fun ?
0.0 I am looking for informTIOn in cambridge	1.0 sure, what would you like to know?
0.0  Good . I want an estimate of damages as soon as possible . 	1.0  But sir ... 
0.0 Either one is fine. I need to book it for 5 nights on Wednesday. There are 4 people.	1.0 I will work on that and be back with you in a moment.
0.0 i m <num> and i ve two kids	1.0 Ok. What is num?
0.0 I want the address and entrance fee information	1.0 The Milton Country Park is free to get into, and the address is Milton Country Park, Milton. A bit redundant, I know.
0.0 The acting of this film is marvelous in spite of the thin plot . 	1.0  I'm sorry for hero . 
0.0 Hey Joanne . What are you up to ? 	1.0  I'm just watching some television . 
0.0 Not at this time. But thank you for the informtion.	1.0 Glad I could help and goodbye
0.0 No, I think that should be all for me today. Thank you so much, you've been very helpful!	1.0 You're welcome, have a great day!
0.0 This is your profile. During the dialog pretend to be this person	1.0 Searching for peer. Please wait...
0.0 I need a place in the north with free wifi, please.	1.0 I can help with that. What is your price range?
0.0 Yes make the booking or me for 2 and provide the reference number.	1.0 Ok, I was able to make your reservation. Your total fee is 33.2 GBP. Your Reference number is : POE0NTR1 .
0.0 I'm sorry, I am actually looking for the postcode of King's College. Could you provide that for me?	1.0 Absolutely - King's College is located on King's Parade, postcode cb21st. Will you be needing anything else today?
