Topic,Subject,Question,Answer
"Actitud","hopeful","I just got a new manager at work. She is really young but seems to be full of good ideals.","I plan to steer clear. I'm going to relocate in January so I just need to lay low. I hope she does a great job."
"Actitud","joyful","I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.","i dont want them to suffer either"
"Actitud","prepared","I have been training for months for the race.","I'm sure all the work will be worth it in the end!"
"Actitud","hopeful","Nephew plays football.  I hope he does great this year!","Yeah this is true!  I'll definitely take your advice! Thank you so much!"
"Actitud","proud","I watched two of my daughters as they graduated from high school.","Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  "
"Actitud","joyful","My best friend will come visit me on Friday_comma_ so I am feeling pretty good.","My best friend is coming to visit me this Friday."
"Actitud","trusting","I trust my wife with my life","thats a good bond how long have you been together? "
"Actitud","trusting","I can tell my best friend anything!","I usually ask her for advice and tell her embarrassing stories because she never snitches!"
"Actitud","confident","We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.","We had a really good time on our vacation a couple of weeks ago."
"Actitud","excited","I can't even fall asleep waiting to go on our vacation. ","Oh_comma_ well that is a fine thing indeed! I would be  jumping up and down!"
"Actitud","proud","Finally got some yard work done _comma_ Love the smell of fresh cut grass.","I like getting things done in the yard_comma_but I feel so dirty afterwards."
"Actitud","trusting","I was working on a boat_comma_ and I had to hope that my friend didn't screw something up while I had my hands in the engine.","Gosh I hate it when I have to work on complicated parts in my boat engine_comma_ when my friend is helping me."
"Actitud","faithful","I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"Actitud","prepared","I am having some financial issues. I am selling almost everything before the bailiff come.","I am having some financial issues. I am selling almost everything before the bailiff come."
"Actitud","excited","Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.","thats cool.  i hope it works out for you"
"Actitud","joyful","I will be seeing my son tomorrow after  a month.","My son comes back tomorrow!"
"Actitud","proud","I won first place in the marathon last weekend. I trained hard and deserved the win","That's pretty awesome. Do you usually run marathons?"
"Actitud","excited","I can't wait until Halloween. I love scaring the little kids who come to my house_comma_ muhahah!","Ha! I've always loved the more festive Dia de los Muertos approach to the day rather than scare or gore! What's your favorite Halloween film?"
"Actitud","faithful","I feel this way because I have hope that I will get into grad school.","That sounds interesting_comma_ when do you learn if you got in?"
"Actitud","prepared","I@ve done lots of research for an interview tis week","I have an interview this week"
"Actitud","hopeful","My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
"Actitud","faithful","i have faith my brother will do alright","Well at least you were able to introduce him to your friend. I hope everything works out for him!"
"Actitud","prepared","ready to leave this hood ","That sounds like a plan."
"Actitud","proud","One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff_comma_","One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff_comma_"
"Actitud","prepared","College is starting in 3 weeks_comma_ and I have my apartment all settled_comma_ my classes picked out_comma_ and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused_comma_ and it feels good.","Hey... that's okay. I'm 28 and just now about to finish my 4-year degree. My brother finished his at 36. There's always a reason for the path you take. Maybe it led to better things. Don't ever just consider yourself a statistic. Good luck!"
"Actitud","joyful","I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"Actitud","hopeful","I am hoping the Eagles can win it all again this season!","Why do you like the eagles?"
"Actitud","confident","I remember going to State Football Championship. I told my teammates on the bus before we got off that if anybody isn't ready to leave this field with the trophy stay on the bus. The whole bus was quiet. The bus driver looked at me and said I think you guys need the listen to him he doesn't look like he's playing. We eventually won that game . ","WE won 60 - 3 "
"Actitud","prepared","Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","How much stuff did you have to go through?"
"Actitud","trusting","If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl","Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful"
"Actitud","confident","I know I can make a lotta money on here if I keep working.","Well keep looking something is out there for you"
"Actitud","hopeful","I just applied for a new job.  After the interview_comma_ I'm very optimistic that I will get the position","I do!  I'm feeling very optimistic about it"
"Actitud","prepared","I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.","They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!"
"Actitud","trusting","I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.","I hate that too. Most of the managers are like that. They never listen and they can be rude."
"Actitud","excited","I will finally be getting a new phone soon_comma_ and I can't wait because my old one is almost dead.","I have a lot of anticipation in me right now. I will finally be able to get a new phone after all these years."
"Actitud","proud","My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!","You must be so proud. That really is a great accomplishment that he has made. Is he going to college?"
"Actitud","prepared","I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time","I am so happy everything went well for you."
"Actitud","prepared","It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"Actitud","trusting","Once I was working on a big project with a bunch of people and made a mistake. One of the other people working on the project covered for me even though they didn't need to. ","did it boost your confidence and faith in mankind?"
"Actitud","faithful","god has done so much for me in my life. i owe everything to him","and i know he's going to come back for me and take me away from this place"
"Actitud","trusting","i felt trusting when my dad and my mon care for me","Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties."
"Actitud","joyful","I cant believe my daughter performed so well in the recital. She practiced so hard for it","I cant believe my daughter performed so well in the recital."
"Actitud","confident","I'm about to ask someone that I like out on a date. I'm pretty confident that she will say yes.","So there's a girl that I've been talking to lately... I'm thinking about asking her out."
"Actitud","faithful","I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.","Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that."
"Actitud","trusting","I let my son drive the car for the first time.","You must be so proud of him!"
"Actitud","confident","I have my physics test tomorrow that I have been studying 10 days for_comma_ Never felt so ready in my life.","I have a physics test tomorrow. I think I can say that after 10 days of nonstop studying and copious amounts of adderall_comma_ I am finally ready."
"Actitud","excited","I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!","This weekend I'm taking my kids to Six Flags"
"Actitud","prepared","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint"
"Actitud","prepared","im ready for next week!","what's happening next week?"
"Actitud","hopeful","I am feeling more positive about the future today. I am really trying to hold on to that feeling no matter what. It's hard!","That is good!  Why have you been feeling down about the future before?"
"Actitud","trusting","I have faith that I will get pregnant soon. Why is it so hard? Isn't that what a women's body is built to do?","Yeah_comma_ more people are having these issues these days. I think it may be true that someone may be poisoning us through the water and food or something! It is a scary world!"
"Actitud","prepared","I've got all my fishing gear packed up. I'm ready for tomorrow morning.","I've got all my fishing gear packed up. I'm ready for tomorrow morning."
"Actitud","excited","I am so full of anticipation!  School starts on Monday!","that's a long time. You should be used to it"
"Actitud","excited","I was cooking some food recently. I made a hard to make recipe and it worked!","That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own"
"Actitud","excited","I'm excited for Red Dead Redemption 2 to come out.  Even though it's a couple months away","No worries_comma_ we all have our hobbies!"
"Actitud","confident","I knew it was going to be a good weekend last week. I just had a good feeling","ok"
"Actitud","faithful","I have been with my car insurance company for 30 years.","I have been with my car insurance company for 30 years."
"Actitud","excited","I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!","I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!"
"Actitud","confident","I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience_comma_ so hopefully I can build it back up.","I'm sure if you can let people know that you're back blogging_comma_ they'd come back to see what you're up to now!  What do you blog about?"
"Actitud","prepared","I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.","I spent all summer getting ready to write my thesis. I can't wait to get time to start."
"Actitud","proud","My son won first place at his first spelling bee.","That's great!  Sounds like he's a smart kid!"
"Actitud","hopeful","Before I do feel that I will not make it in life_comma_ but later I felt expectant of my future","I expected something good_comma_ that was why things are working well for me now"
"Actitud","trusting","My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ","Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) "
"Actitud","excited","i cant wait for next week!","What's going on next week?"
"Actitud","faithful","One day my neighbor helped me in a risky situation. So I'm loyal to their family always.","Yeah_comma_ They helped me in the risky situation when I was alone."
"Actitud","excited","Recently we decided to rescue another kitten. We were so thrilled to be adding another furry member to our family and save a life.","That is great! Adopt_comma_ don't shop! Always a great motto!"
"Actitud","joyful","I am moving to new appartment. The new neighborhood is so nice. I am so happy that I found this appartment. ","That is so nice.  When do you move?"
"Actitud","hopeful","We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"Actitud","joyful","i got a surprise gift in the mail","one time on my birthday i never expect much to me is just a regular day _comma_ then i get a package in the mail it was copic markers my friend mailed them to me from another state i was so happy"
"Actitud","joyful","I've had family visiting for the past couple of days_comma_ some cousins and an uncle and aunt that I haven't seen a long time. It's always great to be reunited with family_comma_ especially after you get over that first initial weird social hump of feeling each other out after not having spoken for a long time. It's crazy to see how much the younger cousins have physically changed! Anyway_comma_ it's been a blast playing games and catching up with them.","wow thats great"
"Actitud","confident","I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like I had the job.","I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like the job was mine."
"Actitud","proud","I was held my head high when my mother received her Master's Degree after getting a GED after high school.","Yes_comma_ it is great! Even better she just received her Master's Degree at the tender age of 50!"
"Actitud","excited","I'm going to a drink and paint party tomorrow. It should be pretty fun!","Wow_comma_ that sounds like a fun and interesting time_comma_ but it sounds like there are a high chance for things to go south and be a huge mess"
"Actitud","joyful","I was pretty happy to find out I was having a girl","I had her 7 months ago"
"Actitud","faithful","3","A key to a long relationship is persistence_comma_ so keep at it! "
"Actitud","confident","My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.","Yea. English of course_comma_ then French_comma_ Spanisha and Chinese."
"Actitud","confident","I started my driving class last week. I'll finish the class within a month and drive the car without any help of others.","Are you going to buy a car?"
"Actitud","trusting","The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.","It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!"
"Actitud","confident","I have to make a tuna casserole for tomorrow.  I am sure I can do it well.","I bet it will be great - I've always loved a good tuna casserole!"
"Actitud","hopeful","It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"Actitud","hopeful","I really want to win the lottery someday_comma_ maybe i will? ","That would pretty amazing. What will you do with the winning?"
"Actitud","joyful","My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.","My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday."
"Actitud","faithful","I was invited to church this last weekend. I went and felt very optimistic in the church.","I went to church with a friend recently."
"Actitud","hopeful","I borrowed some money from my friend. I've a confidence I'll repay this month to him.","What a good friend to lend you money in your time of need. You should thank him and take him to dinner after everything is sorted."
"Actitud","joyful","Going to disney world in december!","Oh that's exciting! Have you gone before?"
"Actitud","confident","I went in to the interview knowing that I had what it takes to land the job. I had prepared to the fullest extent and had all the skills they were looking for.","Nice! You sound like you prepared very well"
"Actitud","confident","I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad","That is a smart move by you."
"Actitud","excited","I am going to meet up with a special friend I haven't seen for  years","That's pretty cool. I don't see my friends much since I moved."
"Actitud","excited","I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"Actitud","hopeful","I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise","that's awesome! I hope you will get a promotion. what do you do for work?"
"Actitud","proud","My son just graduated from college. I cannot believe how fast time went.","Awesome. That is a huge accomplishment."
"Actitud","excited","I really had a fun time at our county fair a couple of days ago.","I took the family to our county fair a couple of days ago."
"Actitud","excited","I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!","You still remember what you got for it?  It must have been memorable!  What was it?"
"Actitud","hopeful","My husband and I are going to couples counseling. I am really positive that we can fix things and be happy.","Oh no. I'm sorry to hear you are going through a rough patch."
"Actitud","confident","I want to lose weight and i'm sure i can do it","You can. It will take some persistence. How's it going so far?"
"Actitud","excited","I have plans so go to the beach with my wife for a week next month.","I have plans so go to the beach with my wife for a week next month"
"Actitud","faithful","I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.","Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married."
"Actitud","proud","I made an amazing pizza yesterday. Iwas very proud of it.","I love pizza. Did you make it by yourself or with friends?"
"Actitud","proud","my daughter passed her drivers test on the first try","really scary."
"Actitud","excited","My spouse bought me a diamond necklace for my birthday.","Yes I was_comma_ I felt love and appreciated. "
"Actitud","faithful","I just celebrated 25 years at my job.","You should've made them buy another cake!"
"Actitud","prepared","I knew I was going to pass my drivers test. I just knew I would do well","I knew I was going to pass my drivers test. I knew I would do well"
"Actitud","hopeful","I'm trying to save up money to buy a home by next year. If all goes well It can happen.","I am so excited. I'm thinking of all the things I want to do to it and I don't even know what it looks like yet."
"Actitud","trusting","When I was a little kid I used to put my faith in everybody.  I learned later on_comma_ as I matured that you can't rely on other people too much because only you know what is best for you in life while everyone else will try to use you if they see you doing too well in life","I understand. Do you like Tony Montana in the movie Scarface?"
"Actitud","faithful","I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!","Yeah_comma_ that sounds like a really good idea!"
"Actitud","faithful","I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.","This attractive girl at the bar was trying to get me to go home with her the other night"
"Actitud","proud","My niece is visiting and we have a pool.  She has not had access to a pool for most of her childhood ad does not know how to swim.  She is figuring it out very quickly though and her confidence is increasing as her skills do.  It's very exciting to watch her skills and confidence soar and she feels it too.","My niece can't swim but has is staying with us for a bit and we have a pool.  Her skills are increasing and her confidence is soaring!"
"Actitud","excited","I was so thrilled to get concert tickets for a surprise show. It will be so fun!","The Strokes are playing this show on the fly in a month. It's so cool!"
"Actitud","trusting","I am waiting on my friend to come over. They are bringing me a medicine for my pet.","I'm sorry. That must make you sad."
"Actitud","trusting","I was walking around SF zoo the other day and realized that animals are such genuine creature and I like them like humans_comma_","Have you ever been to the zoo just to realize that animals can be just as good as humans?"
"Actitud","prepared","We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ","Yeah its all repaired now. I also bought lots of food in case we loose power."
"Actitud","hopeful","I pray American will be great again.","Me too_comma_ he's so real. He loves what I love. MMA_comma_ poker_comma_ guns_comma_ WWE_comma_ hahahah"
"Actitud","confident","I am as sure as the sun will rise tomorrow that I will get this job promotion!","Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :)"
"Actitud","confident","I feel I can do things on my own. I didn't always feel this way_comma_ so it's nice I am empowered now and can accomplish things on my own.","My resolve I guess? Nothing changed for the better but inside me at least I know I can do it on my own because it's 1000 times better than the alternative. I'll do whatever it takes."
"Actitud","trusting","I went skydiving. I had to trust in the tandem partner I had to not kill me.","That's so awesome. I don't think I would have the courage now. Will you do it again?"
"Actitud","confident","I was very sure I was getting the promotion I asked for.","I knew I was going to get the promotion I was up for."
"Actitud","proud","My daughter win a medal for dancing in a competition. I glad to see her as a dancer.","I'm impressed_comma_ where did she win the medal?"
"Actitud","prepared","Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","I bought a big rubbermaid portable file box that has folders "
"Actitud","joyful","I won a year of unlimited pizza. I'm so psyched.","It will save you a lot of money too"
"Actitud","faithful","I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this","yes. It's been a rough week and my will power is very strong to still work through all this"
"Actitud","hopeful","Vacation trip coming up hope it's awesome","Yeah I know!  It's going to be awesome!  Enjoy your day_comma_ friend!"
"Actitud","trusting","I knew my dad would help me with my test. He was good at math","I knew my dad would help me with my test. He was good with math"
"Actitud","prepared","We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. "," i must have been terrifying_comma_ I am glad you both made it through it"
"Actitud","proud","My dog learned all of his tricks!","Oh great. That is so fun . My baby died a few years ago. But he was over 14 _comma_ so. "
"Actitud","proud","My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"Actitud","faithful","I have always  been faithful to my girlfiend of almost 3 years","So many people cheat nowadays. That's good to hear!"
"Actitud","faithful","Some one owed me some money","I thought he would not pay back after a long time"
"Actitud","prepared","One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!","Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe."
"Actitud","proud","It makes me feel good when I see my friends realizing their dreams.","Some people get jealous when other people are doing well_comma_ so you are truely a good friend"
"Actitud","proud","I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!","I was in the market for a steam cleaner and did tons of research til I chose the best one."
"Actitud","faithful","When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.","I said no and made the friend leave. I only like my spouse."
"Actitud","hopeful","I am confident my brother will beat his cancer.","I am confident my brother will beat this cancer."
"Actitud","prepared","I went into that interviewing knowing i could answer any question they threw at me","yea im sure i'll get the job"
"Actitud","joyful","I recently received my teaching certificate","thats so awesome good for you "
"Actitud","faithful","Getting married this fall","It's lovely. Be a happy couple. live long together!"
"Actitud","faithful","I would never cheat on my wife like my brother cheated on his wife","Cheating  on your spouse is a despicable thing to do."
"Actitud","joyful","Took the kiddos to the lake","That sound fun! I love to eat fresh fish!"
"Actitud","faithful","When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.","Well that's good. Sounds like it all worked out pretty well."
"Actitud","hopeful","I am hoping to win the lottery this week!","I am hoping as well"
"Actitud","faithful","I fully trust in my intuition and dreams.  They have gotten me this far and I'm going all the way to the top","These days I'm trusting my intuition and following my gut to achieve my goals.  They've gotten me this far and haven't let me down yet"
"Agente inteligente","Definición de agente inteligente","What is the definition of an intelligent agent?","An intelligent agent is an entity capable of perceiving its environment, processing such perceptions and responding or acting in its environment rationally, i.e., tending to maximize an expected result."
"Agente inteligente","Definición de agente inteligente","What is the definition of an intelligent agent?","Intelligent agents are the future of technology."
"Algoritmo","Ejemplo de algoritmo","What is an algorithm?","An algorithm is a computer program that can do something, such as make a recipe, that a human would be able to do."
"Algoritmo","Partes del algoritmo","What is the name of the part of an algorithm?","An algorithm is a computer program that uses a set of instructions to solve a problem."
"Algoritmo","Características de los algoritmos","What is the aim of this paper?","The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets."
"Algoritmo","Ejemplo de algoritmo de recomendación","What is one way to get people to like your content?","In the world of social media, recommendation algorithms are not the only way to get people to like your content."
"Algoritmo","Definición de agente inteligente","What is the term for an algorithm?","The term algorithm is a description of a set of rules that allows a problem to be solved, in a certain way, by means of systematic (not necessarily ordered) and finite operations."
"Algoritmo","Historia del algoritmo","What is the name of the film that celebrates Euclid?","The ancient Greek mathematician Euclid is celebrated in the film The Big Bang Theory, which opens in the UK on Friday."
"Algoritmo","Características de los algoritmos","What is a computer program that uses instructions or rules to solve problems?","An algorithm is a computer program that uses instructions or rules to solve problems."
"Algoritmo","Características de los algoritmos","What does Jeremy Hobson look at?","The BBC's science correspondent, Jeremy Hobson, looks at the challenges faced by researchers trying to develop algorithms for predicting the behaviour of natural disasters."
"Algoritmo","Ejemplo de algoritmo","What is the name of the algorithm that Facebook uses to find out what you're interested in?","Facebook has revealed that it is using Edgerank to find out what you're most likely to be interested in on the site."
"Algoritmo","Clasificación de los algoritmos","What is the classification of data by?","In this paper we will discuss the classification of data by the following criteria:"
"Algoritmo","Características de los algoritmos","What does Jeremy Hobson look at?","The BBC's science correspondent, Jeremy Hobson, looks at the role of algorithms in computing."
"Algoritmo","Clasificación de los algoritmos","What is the name of the paper that describes the classification of algorithms?","In this paper we describe the classification of algorithms."
"Algoritmo","Input del algoritmo","What is the name of the algorithm that is used to determine the results of a search?","The internet is a huge and complex place, and the internet is a huge part of our daily lives."
"Algoritmo","Clasificación de los algoritmos","What is one of the main functions of computer systems?","The following are some of the main functions of computer systems."
"Algoritmo","Input del algoritmo","What is the name of the command that specifies the steps to be taken when a given command is executed?","The following example shows how to use the following commands to specify the steps to be taken when a given command is executed."
"Algoritmo","Input del algoritmo","What is the name of the algoritm?","A cooking class is a chance for students to learn how to prepare a meal."
"Aprendizaje automático","Definición de aprendizaje automático","What does Sue Perkins explain about machine learning?","The BBC's artificial intelligence expert, Sue Perkins, explains how machine learning works."
"Aprendizaje federado","Definición de aprendizaje federado","What is the name of the new way of learning at the University of Cambridge?","The University of Cambridge has developed a new way of learning, called Federated Learning."
"Aprendizaje federado","Ejemplo de aprendizaje federado","What is the name of the project?","Researchers at the University of California, Los Angeles, have developed a way to train artificial intelligence models that can be used in hospitals."
"Aprendizaje por refuerzo","Ejemplos de aprendizaje por refuerzo","What is the name of the tool that is used to learn how to use a website?","This is a very useful tool for learning how to use a website."
"Aprendizaje por refuerzo","Funcionalidad del aprendizaje por refuerzo","What is the main feature of the aprendizaje?","In this paper we show how to train a group of unsupervised learning algorithms."
"Aprendizaje por refuerzo","Definición de aprendizaje por refuerzo","What is the definition of reinforcement learning?","This paper describes the use of reinforcement learning in software development."
"Aprendizaje por refuerzo","Ejemplos de aprendizaje por refuerzo","What is a reward for doing well?","Researchers at the University of California, Berkeley, have developed a way to teach children to learn by giving them a reward for doing well."
"Aprendizaje por refuerzo","Definición de aprendizaje por refuerzo","What is the name of the new type of machine learning?","The research group at the University of Bristol has developed a new type of machine learning called reinforcement learning."
"Autoencoder","Definición de autoencoder","What is the name of the new method developed?","A novel method for learning autoencoders has been developed."
"Autoencoder","Definición de autoencoder","What is the goal of the project?","The research group in this project is developing an autoencoder for the decoding of audio signals."
"Big data","Definición de big data","What is the definition of big data?","In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at the big data revolution."
"Big data","Definición de big data","What is the definition of big data?","The term 'big data' has been around for a long time, but has now become more common."
"Blockchain","Definición de blockchain","What is the name of the new technology being used to help businesses manage their digital assets?","A new technology is being used to help businesses manage their digital assets."
"Blockchain","Definición de blockchain","What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the use of Blockchain technology."
"Blockchain","Ejemplo de blockchain","What is the name of the technology used in the banking sector?","The use of blockchain technology in the banking sector has been growing in recent years."
"Blockchain","Definición de blockchain","What is the definition of blockchain?","The Blockchain technology is a new way of doing business."
"Blockchain","Definición de blockchain","What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the adoption of Blockchain technology."
"Blockchain","Ejemplo de blockchain","What is the name of the technology that allows the transfer of information between computers?","Blockchain is a technology that allows the transfer of information between computers."
"Bot","Ejemplo de bot","What is the name of the bot used in the election?","The United States is currently holding elections to choose a new president, and the use of bots in the campaign has been a major issue."
"Bot","Tipos de bot","What is a bot?","Bots are software programs designed to monitor and control other people's online activities."
"Bot","Definición de bot","What is the definition of a bot?","A bot is a computer program capable of performing repetitive tasks."
"Bot","Ejemplo de bot","What is a bot?","A bot is a computer program that is capable of playing a video game."
"Ciencia de datos","Expertos en ciencia de datos","What is the term for a computer scientist who uses data to solve problems?","Data science is a branch of computer science that uses data to solve problems."
"Ciencia de datos","Ejemplo de ciencia de datos","What is the main focus of the NCA's new approach?","The UK's National Crime Agency (NCA) has developed a new approach to identifying cyber threats, using machine learning to identify patterns in data."
"Ciencia de datos","Ventajas de la ciencia de datos","What is the term for the use of data to improve the way we work?","The use of data to improve the way we work has become a key factor in the success of many companies."
"Ciencia de datos","Definición de ciencia de datos","What is the topic of the PhD program at the University of Bristol?","The University of Bristol is offering a PhD in data science."
"Ciencia de datos","Definición de ciencia de datos","What is the term for data science?","Data science is a branch of science that uses data to solve problems."
"Computación Ecológica","Definición de computación Ecológica","What is the name of the initiative that promotes the use of green computing?","The World Green Computing Council (WGC) has launched a new initiative to promote the use of green computing in the world."
"Computación Ecológica","Definición de computación Ecológica","What is the name of the document that the GPC is working on?","The Green Computing Project (GPC) at the University of Cambridge is helping universities and research institutions to develop green computing strategies."
