source,target
"What is the definition of tabla hash?","The hash table is a very useful tool for searching for data."
"I believed that my son would behave responsibly when I left him home alone for the weekend.","Wow_comma_ that would have scared me_comma_ how did it go?"
"I have always  been faithful to my girlfiend of almost 3 years","So many people cheat nowadays. That's good to hear!"
"I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!","I was in the market for a steam cleaner and did tons of research til I chose the best one."
"Nephew playing football this year","That's exciting!  I hope he's doing well in school!"
"My spouse bought me a diamond necklace for my birthday.","Yes I was_comma_ I felt love and appreciated. "
"My nephew is learning how to drive and asked to use my car to take the driving test this weekend. ","Yeah. I feel he wont let me down. "
"I am feeling more positive about the future today. I am really trying to hold on to that feeling no matter what. It's hard!","That is good!  Why have you been feeling down about the future before?"
"I am having some financial issues. I am selling almost everything before the bailiff come.","I am having some financial issues. I am selling almost everything before the bailiff come."
"Nephew plays football.  I hope he does great this year!","Yeah this is true!  I'll definitely take your advice! Thank you so much!"
"What is an example of a model-based learning method?","Image-based learning is a promising new way to train computers."
"What is the name of the initiative that promotes the use of green computing?","The World Green Computing Council (WGC) has launched a new initiative to promote the use of green computing in the world."
"I watched two of my daughters as they graduated from high school.","Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  "
"I trust my wife with my life","thats a good bond how long have you been together? "
"When I went into labor with my son_comma_ it was quite the ordeal. He was coming way too early and we had to rush to get him out. Thankfully_comma_ I had everything already packed beforehand!","Is he healthy?"
"It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"It makes me feel good when I see my friends realizing their dreams.","Some people get jealous when other people are doing well_comma_ so you are truely a good friend"
"What is the definition of augmented reality?","The BBC's science and technology correspondent Nick Thorpe explains how augmented reality can be used to create new forms of media."
"I was held my head high when my mother received her Master's Degree after getting a GED after high school.","Yes_comma_ it is great! Even better she just received her Master's Degree at the tender age of 50!"
"I let people so much in my life and they ended up betraying my confidence i had in them.","I can sympathize with you. I've had a lot of betrayal in the past. The ONLY thing to do is to continue looking for trustworthy individuals. "
"I know I can make a lotta money on here if I keep working.","Well keep looking something is out there for you"
"What is the name of the algorithm used by Google?","Google has been accused of manipulating its search results to favour its own products and services over those of rivals such as Yahoo and Bing."
"I remember going to State Football Championship. I told my teammates on the bus before we got off that if anybody isn't ready to leave this field with the trophy stay on the bus. The whole bus was quiet. The bus driver looked at me and said I think you guys need the listen to him he doesn't look like he's playing. We eventually won that game . ","WE won 60 - 3 "
"What is the definition of a cryptographic hash function?","This page describes the use of a cryptographic hash function in the Python programming language."
"What is the main feature of the aprendizaje?","In this paper we show how to train a group of unsupervised learning algorithms."
"We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ","Yeah its all repaired now. I also bought lots of food in case we loose power."
"What is the term for the collection and analysis of large amounts of data?","Big Data is the collection and analysis of large amounts of data."
"I was very sure I was getting the promotion I asked for.","I knew I was going to get the promotion I was up for."
"I am moving to new appartment. The new neighborhood is so nice. I am so happy that I found this appartment. ","That is so nice.  When do you move?"
"What is the name of the part of an algorithm?","An algorithm is a computer program that uses a set of instructions to solve a problem."
"My daughter got is going to university. I'm so happy. ","Thank you_comma_ I'm so proud"
"I cant believe my daughter performed so well in the recital. She practiced so hard for it","I cant believe my daughter performed so well in the recital."
"I went in to the interview knowing that I had what it takes to land the job. I had prepared to the fullest extent and had all the skills they were looking for.","Nice! You sound like you prepared very well"
"i felt trusting when my dad and my mon care for me","Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties."
"My daughter has grown up so much. She is finally able tobabysit her younger siblings","my daughter has matured so well"
"What is the name of the document that the GPC is working on?","The Green Computing Project (GPC) at the University of Cambridge is helping universities and research institutions to develop green computing strategies."
"What type of technology is expected to be the fastest growing segment of the global market?","The telecommunications sector is expected to be one of the fastest growing segments in the global blockchain market."
"What is the definition of sobreajuste?","This video shows how to overfitting a computer model."
"I am confident my brother will beat his cancer.","I am confident my brother will beat this cancer."
"I cant believe my daughter performed so well in the recital. She practiced so hard for it","I cant believe my daughter performed so well in the recital."
"I@ve done lots of research for an interview tis week","I have an interview this week"
"What is the definition of metadata?","Metadata is a term used in the software development industry."
"I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this","yes. It's been a rough week and my will power is very strong to still work through all this"
"When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.","Well that's good. Sounds like it all worked out pretty well."
"I just celebrated 25 years at my job.","You should've made them buy another cake!"
"What is the definition of smart data?","The term Smart Data is a description of a technology that uses data to make information more useful."
"I watched two of my daughters as they graduated from high school.","Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  "
"What is the definition of association rules?","In this paper we will look at the use of association rules in decision trees."
"This is gonna be a good year at school for me. Its going to be better than all the rest!","Thats a good outlook to have! What year are you on 1st_comma_ 2nd? "
"What is the definition of overfitting?","The term 'overfitting' is a common term used in machine learning to describe problems with models that are too complex to be understood by humans."
"I was very happy to get my new job","oh wow. we're practically neighbors."
"I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!","I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!"
"I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like I had the job.","I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like the job was mine."
"I won a teaching award last year for my work with at-risk youth. ","It's nice to be recognized. What do you do for a living?"
"I went skydiving. I had to trust in the tandem partner I had to not kill me.","That's so awesome. I don't think I would have the courage now. Will you do it again?"
"My company will give us a bonus because the quarter was good. I am happy.","I just went on a vaction with my kids. Its was so relaxing. Have fun"
"I knew it was going to be a good weekend last week. I just had a good feeling","ok"
"My little boy got on the bus this morning. He made me so happy for him.","That's so sweet. "
"What is the name of the technology used in the banking sector?","The use of blockchain technology in the banking sector has been growing in recent years."
"I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.","I'm leaving for my vacation soon.  I have everything all packed and ready to go."
"I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.","I'm leaving for my vacation soon.  I have everything all packed and ready to go."
"I am as sure as the sun will rise tomorrow that I will get this job promotion!","Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :)"
"A new skating rink is being built. Should be done in time for Winter skating!","That's great! I may look it up and go to their grand opening as well."
"Vacation trip coming up hope it's awesome","Yeah I know!  It's going to be awesome!  Enjoy your day_comma_ friend!"
"I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!","This weekend I'm taking my kids to Six Flags"
"Going to a job interview soon and I think I got this!","It is great to be confident. I am sure you will knock the interview out of the park!"
"My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
"ready to leave this hood ","That sounds like a plan."
"I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise","that's awesome! I hope you will get a promotion. what do you do for work?"
"I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"I believed that my son would behave responsibly when I left him home alone for the weekend.","Wow_comma_ that would have scared me_comma_ how did it go?"
"I have plans so go to the beach with my wife for a week next month.","I have plans so go to the beach with my wife for a week next month"
"College is starting in 3 weeks_comma_ and I have my apartment all settled_comma_ my classes picked out_comma_ and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused_comma_ and it feels good.","Hey... that's okay. I'm 28 and just now about to finish my 4-year degree. My brother finished his at 36. There's always a reason for the path you take. Maybe it led to better things. Don't ever just consider yourself a statistic. Good luck!"
"What is the name of the tool that is used to learn how to use a website?","This is a very useful tool for learning how to use a website."
"Going to disney world in december!","Oh that's exciting! Have you gone before?"
"My spouse bought me a diamond necklace for my birthday.","Yes I was_comma_ I felt love and appreciated. "
"I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint"
"I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.","Can you facetime them?"
"I borrowed some money from my friend. I've a confidence I'll repay this month to him.","What a good friend to lend you money in your time of need. You should thank him and take him to dinner after everything is sorted."
"When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.","I said no and made the friend leave. I only like my spouse."
"What is the definition of a subajustment?","The failure of a system to work properly is called underfitting."
"I would never cheat on my wife like my brother cheated on his wife","Cheating  on your spouse is a despicable thing to do."
"I won a teaching award last year for my work with at-risk youth. ","It's nice to be recognized. What do you do for a living?"
"I trust my wife with my life","thats a good bond how long have you been together? "
"What is the goal of the project?","The aim of this project is to develop a new type of data analytics: a model."
"I won first place in the marathon last weekend. I trained hard and deserved the win","That's pretty awesome. Do you usually run marathons?"
"My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!","Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe."
"I can't even fall asleep waiting to go on our vacation. ","Oh_comma_ well that is a fine thing indeed! I would be  jumping up and down!"
"I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.","Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that."
"If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl","Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful"
"I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!","You still remember what you got for it?  It must have been memorable!  What was it?"
"I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.","I spent all summer getting ready to write my thesis. I can't wait to get time to start."
"I recently received my teaching certificate","thats so awesome good for you "
"I've never cheated on my wife","uh oh how does Facebook help? lol"
"i have faith my brother will do alright","Well at least you were able to introduce him to your friend. I hope everything works out for him!"
"my daughter passed her drivers test on the first try","really scary."
"Getting a colonoscopy done.  I hope it turns out okay","My appointment is coming up"
"Gareth Bale played his best in the champion's league final. I was thrilled after I watched his game.","Have you watched champion's league final?"
"The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.","It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!"
"Nephew plays football.  I hope he does great this year!","Yeah this is true!  I'll definitely take your advice! Thank you so much!"
"I just celebrated 25 years at my job.","You should've made them buy another cake!"
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff_comma_","One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff_comma_"
"I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience_comma_ so hopefully I can build it back up.","I'm sure if you can let people know that you're back blogging_comma_ they'd come back to see what you're up to now!  What do you blog about?"
"I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"What is the term for a computer scientist who uses data to solve problems?","Data science is a branch of computer science that uses data to solve problems."
"What is the goal of the project?","The research group in this project is developing an autoencoder for the decoding of audio signals."
"Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.","I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it."
"What is the term for the use of data to improve the way we work?","The use of data to improve the way we work has become a key factor in the success of many companies."
"What is the name of the variable dummy?","The following table lists all the observations made by the /////////////////////////"
"i cant wait for next week!","What's going on next week?"
"What is the term for the Internet of Things?","The Internet of Things (IoT) is a growing trend in the technology industry."
"What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the adoption of Blockchain technology."
"im ready for next week!","what's happening next week?"
"I was held my head high when my mother received her Master's Degree after getting a GED after high school.","You know she inspires me. She always reminds me of what hard work can do for you."
"I'm about to ask someone that I like out on a date. I'm pretty confident that she will say yes.","So there's a girl that I've been talking to lately... I'm thinking about asking her out."
"I'm excited for Red Dead Redemption 2 to come out.  Even though it's a couple months away","No worries_comma_ we all have our hobbies!"
"I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!","I was in the market for a steam cleaner and did tons of research til I chose the best one."
"Going to a job interview soon and I think I got this!","It is great to be confident. I am sure you will knock the interview out of the park!"
"I won first place in the marathon last weekend. I trained hard and deserved the win","That's pretty awesome. Do you usually run marathons?"
"My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.","My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday."
"My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.","Yea. English of course_comma_ then French_comma_ Spanisha and Chinese."
"Finally got some yard work done _comma_ Love the smell of fresh cut grass.","I like getting things done in the yard_comma_but I feel so dirty afterwards."
"I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time","I am so happy everything went well for you."
"I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad","That is a smart move by you."
"My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!","You must be so proud. That really is a great accomplishment that he has made. Is he going to college?"
"I want to lose weight and i'm sure i can do it","You can. It will take some persistence. How's it going so far?"
"What is the definition of arbol?","In this article we will talk about the different types of data structures and how they can be used in the web."
"I am so full of anticipation!  School starts on Monday!","that's a long time. You should be used to it"
"I am waiting on my friend to come over. They are bringing me a medicine for my pet.","I'm sorry. That must make you sad."
"I've got all my fishing gear packed up. I'm ready for tomorrow morning.","I've got all my fishing gear packed up. I'm ready for tomorrow morning."
"What is the name of the model we present?","We present a generative model for unsupervised learning of large-scale data sets."
"I was cooking some food recently. I made a hard to make recipe and it worked!","That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own"
"Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","How much stuff did you have to go through?"
"What is the definition of a tree?","In this course we will be learning how to use a tree in a variety of ways."
"What is the name of the paper that describes the classification of algorithms?","In this paper we describe the classification of algorithms."
"My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ","Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) "
"I feel this way because I have hope that I will get into grad school.","That sounds interesting_comma_ when do you learn if you got in?"
"Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.","thats cool.  i hope it works out for you"
"For some reason if I get a good pump at the gym early in the morning_comma_ I feel like I can tackle any task on my to-do list for the day.","That's awesome. do you usually exercise in the mornings?"
"I love my girlfriend so much. I think im going to marry her.","Congratulations and thats OK I do that a lot too."
"I am going to meet up with a special friend I haven't seen for  years","That's pretty cool. I don't see my friends much since I moved."
"My daughter got is going to university. I'm so happy. ","Thank you_comma_ I'm so proud"
"Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"my daughter passed her drivers test on the first try","really scary."
"I will be seeing my son tomorrow after  a month.","My son comes back tomorrow!"
"Before I do feel that I will not make it in life_comma_ but later I felt expectant of my future","I expected something good_comma_ that was why things are working well for me now"
"Took the kiddos to the lake","That sound fun! I love to eat fresh fish!"
"I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad","That is a smart move by you."
"I just got a new manager at work. She is really young but seems to be full of good ideals.","I plan to steer clear. I'm going to relocate in January so I just need to lay low. I hope she does a great job."
"One day my neighbor helped me in a risky situation. So I'm loyal to their family always.","Yeah_comma_ They helped me in the risky situation when I was alone."
"What is the term for data science?","Data science is a branch of science that uses data to solve problems."
"i went in knowing i was going to do great on that test","Awesome! So happy for you my friend"
"I really want to win the lottery someday_comma_ maybe i will? ","That would pretty amazing. What will you do with the winning?"
"I am as sure as the sun will rise tomorrow that I will get this job promotion!","Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :)"
"I fully trust in my intuition and dreams.  They have gotten me this far and I'm going all the way to the top","These days I'm trusting my intuition and following my gut to achieve my goals.  They've gotten me this far and haven't let me down yet"
"i have faith my brother will do alright","Well at least you were able to introduce him to your friend. I hope everything works out for him!"
"What is the definition of reinforcement learning?","This paper describes the use of reinforcement learning in software development."
"What is a bot?","A bot is a computer program that is capable of playing a video game."
"I felt so happy seeing my high school friends last month. We were at our reunion","True! All those old memories started rushing in"
"I'll be getting a raise in February.","It'll be around 25%."
"I feel I can do things on my own. I didn't always feel this way_comma_ so it's nice I am empowered now and can accomplish things on my own.","My resolve I guess? Nothing changed for the better but inside me at least I know I can do it on my own because it's 1000 times better than the alternative. I'll do whatever it takes."
"I was cooking some food recently. I made a hard to make recipe and it worked!","That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own"
"I have faith that I will get pregnant soon. Why is it so hard? Isn't that what a women's body is built to do?","Yeah_comma_ more people are having these issues these days. I think it may be true that someone may be poisoning us through the water and food or something! It is a scary world!"
"It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"i went in knowing i was going to do great on that test","Awesome! So happy for you my friend"
"My brother and a bunch of our friends planned to go to a 15-person cottage in July. I could not wait for all the fun and games we would experience!","It's very close to a lake_comma_ it probably takes a two minute hike down through a patch of trees and tall grass to get there."
"I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"I am very faithful to my employer.","My employer provides me with lots of training and support so I have become very faithful to them."
"What is the definition of a graphics processing unit?","A graphics processing unit (GPU) is a piece of computer hardware that handles computer graphics operations."
"I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.","I hate that too. Most of the managers are like that. They never listen and they can be rude."
"What is the definition of tabla hash?","A hash table is a data structure that associates keys or keys with values."
"I was pretty happy to find out I was having a girl","I had her 7 months ago"
"I am super hype for the new super smash bros_comma_ it looks so so good!","It comes out in December right? It would make a good holiday present!"
"What is the name of the command that specifies the steps to be taken when a given command is executed?","The following example shows how to use the following commands to specify the steps to be taken when a given command is executed."
"We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_","Yes_comma_ I've been surfing for ever. Only three of us in the water. "
"I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.","This attractive girl at the bar was trying to get me to go home with her the other night"
"What is the term for the use of sensors and actuators in the home?","The use of sensors and actuators in the home is increasing."
"What is the definition of a grouping rule?","The association rule is a set of rules that govern the way items are grouped and stored."
"I was working on a boat_comma_ and I had to hope that my friend didn't screw something up while I had my hands in the engine.","Gosh I hate it when I have to work on complicated parts in my boat engine_comma_ when my friend is helping me."
"We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"I have to make a tuna casserole for tomorrow.  I am sure I can do it well.","I bet it will be great - I've always loved a good tuna casserole!"
"My school is low income_comma_ but we score in the top 5% statewide.","Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now."
"What is the name of the algoritm?","A cooking class is a chance for students to learn how to prepare a meal."
"I think I can get everything I need to get accomplished before the end of summer.","What all do you have to get done?"
"Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.","We had a really good time on our vacation a couple of weeks ago."
"My mom said she'd go to the doctor the next time she started feeling weird heart palpitations again. I'm about a thousand miles away from her_comma_ so I can't force her to go. But I'm worried about her_comma_ as she's always avoided the doctor_comma_ and always been in poor health. Hope she does the right thing.","Sort of.. we have a neighbor that's been by her for 10 years_comma_ and they've been friends for a long time. But she's older herself_comma_ and has her own worries_comma_ so it's not like I can put more on her plate. My mother is just stubborn. I love her to death_comma_ but she's kind of a 'What will be_comma_ will be' type person_comma_ and just assumes life will happen and you can_comma_ nor should_comma_ do anything to get in the way of it."
"I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!","Yeah_comma_ that sounds like a really good idea!"
