,source,target
35,What is the name of the algorithm used in Step 2?,"Step 2: Put in a frying pan a little butter, a spoonful of flour and..."
36,In what language will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial in Prolog.
37,What is another name for Summary Function?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into a code of fixed length.
38,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology.,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology.
39,Graph theory is a branch of mathematics that deals with the relationship between people and data?,Graph theory is a branch of mathematics that deals with the relationship between data and people.
40,What is a new type of decision tree?,association rules are a new type of decision tree.
41,"What is the name of the new type of robot created by scientists at the University of California, Berkeley?","Scientists at the University of California, Berkeley, have created a new type of robot."
42,"What is a data structure that relates a value called ""key"" to one or more elements called?","A Hash Table is a data structure that relates a value called ""key"" to one or more element."
43,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of life."
44,What system has a computational power equivalent to theUniversal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to theUniversal Turing Machine.
45,What is another term for a mathematical function that transforms a set of data into a code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into a code of fixed length.
46,The hierarchy of a Christmas tree is an interesting concept.,The hierarchy of a Christmas tree is an interesting concept.
47,Graph theory is a branch of mathematics that deals with the relationship between data and information called?,Graph theory is a branch of mathematics that deals with the relationship between data and information.
48,Ahmedou Ould-Abdallah looks at the future of what kind of universe?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverses."
49,What is a piece of computer equipment used to process data?,A Graphics Processing Unit (GPU) is a piece of computer equipment used to process data.
50,Farai Sevenzo looks at the future of what kind of technology?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverse technology."
51,What does this paper describe how to train to predict the outcome of a clinical trial?,This paper describes how to train an artificial intelligence (AI) model that can predict the outcome of a clinical trial.
52,What is a technique that allows to train an algorithm in a way?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private) and local."
53,What is the name of the German term for graph theory?,Graph theory is a theory of how data is organised and relationships between points are formed.
54,What is a system called that has computing power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computing power equivalent to the Universal Turing Machine.
55,Which branch of mathematics deals with the relationship between data and information?,Graph theory is a branch of mathematics that deals with the relationship between data and information.
56,What is a computer program that performs repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behaviour that a person would have, doing the same thing but automatically."
57,Farai Sevenzo looks at one of the most common problems faced by African journalists?,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at one of the most common problems faced by African journalists:"
58,What is the most popular form of technology in the world?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world.
59,"In this lesson, we will learn how to use what to solve common problems?",In this lesson we are going to learn how to use a tree to solve some common problems.
60,Big data and what other kind of data are there?,There are two main types of data: big data and smart data.
61,What is a piece of computer equipment used to process data called?,A graphics processing unit (GPU) is a piece of computer equipment used to process data.
62,What is an important part of artificial intelligence?,Generative models are an important part of artificial intelligence and have been used for many years to train machine learning algorithms.
63,What is another name for Summary Function?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
64,What is the term for a piece of computer hardware that is used to process data?,A Graphics Processing Unit (GPU) is a piece of computer hardware that is used to process data.
65,What is a type of artificial neural network?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabeled data.
66,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain technology.
67,What is a piece of computer equipment that is used to process data like images and videos?,A graphics processing unit (GPU) is a piece of computer equipment that is used to process data like images and video.
68,What is the term for a variable that can be created when the original variable cannot be used?,A Dummy Variable is a variable that can be created when the original variable cannot be used.
69,What are rules that can be used to classify data sets?,Association rules are a set of rules that can be used to classify data sets.
70,Ahmedou Ould-Abdallah looks at the future of what kind of world?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverses."
71,"Along with big data, what type of data is there?",There are two types of data: smart and big data.
72,What field is there a growing demand for?,There is a growing demand for data scientists who are able to extract useful information from large volumes of data.
73,What does Ahmed Rashid call the problem of overfitting?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting""."
74,What type of revolution is Ahmed Rashid looking at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our world."
75,What does Ahmed Rashid think is important in the field of artificial intelligence?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence."
76,What is a machine that manipulates symbols on a data tape called?,A Turing Machine is a machine that uses a table of rules to manipulate symbols on a data tape.
77,What is the name of the Graph theory?,Graph theory is a theory of how data is organised and relationships between points are formed.
78,What is a piece of computer hardware used to process data?,A graphics processing unit (GPU) is a piece of computer hardware that is used to process data.
79,Ahmed Rashid looks at how to make what?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at how to make a tree."
80,What is a data structure that relates a value called 'key' to one or more other elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more other elements."
81,What is the branch of AI that allows a computer to learn based on examples?,Machine learning is a branch within AI that allows a computer to learn based on examples.
82,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning where a decision made by an algorithm is followed by a reinforcement (positive or negative).
83,What is a piece of computer equipment that is used to process data like images and video?,A graphics processing unit (GPU) is a piece of computer equipment that is used to process data like images and video.
84,There are many different types of what?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have one thing in common - they all have"
85,What type of variable is created when a categorical variable cannot be used?,A Dummy Variable is a variable that is created when a categorical variable cannot be used.
86,What are there many different types of?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one"
87,What is the name of the report that Research and Markets has added to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
88,What is a piece of computer equipment used to process data called?,A Graphics Processing Unit (GPU) is a piece of computer equipment used to process data.
89,What is the most popular technology in the world of technology?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular technologies in the world of technology.
90,Big data and what other type of data exist?,There are two types of data: big data and smart data.
91,Hash Trees and Merkle Trees are two types of data structures used in Blockchain?,Hash Trees and Merkle Trees are two types of data structures used in Blockchain.
92,What is a piece of computer hardware that is used to process data?,A Graphics Processing Unit (GPU) is a piece of computer hardware that is used to process data.
93,In what language are we going to solve a factorial?,In this lesson we are going to learn how to solve a factorial in Prolog.
94,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have a"
95,Hash Trees and Merkle Trees are two types of data structures used in blockchain.,Hash Trees and Merkle Trees are two types of data structures used in Blockchain.
96,What do we learn in this lesson?,"In this lesson, we are going to learn about sugar coding."
97,What is the branch of science that deals with the analysis and management of large amounts of data?,Data Science is a branch of science that deals with the analysis and management of large amounts of data.
98,In this lesson we will learn how to use what to solve some common problems in computer science?,In this lesson we are going to learn how to use a tree to solve some common problems in computer science.
99,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing"" report to their offering."
100,"Along with big data, what type of data are there?",There are two main types of data: smart data and big data.
101,What tree of life does Ahmed Rashid discuss?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of the tree of life."
102,Ahmed Rashid looks at some of the challenges facing the film industry?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data challenges facing the industry."
103,Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in film and television?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry:"
104,Graph theory is a branch of computer science that deals with data structures called?,Graph theory is a branch of computer science that deals with data structures.
105,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot."
106,What revolution is changing our lives?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our lives."
107,What does Ahmedou Ould-Abdallah look at in a series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the meaning of sugar."
108,What issue does Ahmed Rashid look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data issues facing the continent."
109,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the "" Green Computing - Research and Markets"" report to their offering."
110,"In this paper, we show how to train an artificial intelligence (AI) model that can predict the likelihood of a given outcome.","In this paper, we show how to train an artificial intelligence (AI) model that can predict the likelihood of a given outcome."
111,What is the most popular form of technology?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology today.
112,What is a computer program that performs repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behavior that a person would have, doing the same thing, but automatically."
113,What is the latest technology in entertainment?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of entertainment.
114,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative).
115,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative).
116,What is a mathematical function that transforms data into anumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into anumeric code of fixed length.
117,"In this lesson, we will learn how to use what to solve some common problems in computer science?",In this lesson we are going to learn how to use a tree to solve some common problems in computer science.
118,Ahmed Rashid looks at the revolution in what field?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our lives."
119,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures used in Blockchain.
120,What type of data is big data?,There are two main types of data: smart and big data.
121,What is the name of the graph theory?,Graph theory is a theory of how data is organised and relationships between points are formed.
122,What is the most popular form of technology today?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology today.
123,What is the most popular form of technology in the world today?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world today.
124,What test did DeepMind pass?,An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time.
125,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern."
126,This paper describes how to train an artificial intelligence model.,This paper describes how to train an artificial intelligence model.
127,What field is booming?,The world of data science is booming.
128,"In this course, we will learn how to use what to solve some common problems?",In this course we are going to learn how to use a tree to solve some common problems.
129,What is the term for a piece of computer equipment used to process data?,A Graphics Processing Unit (GPU) is a piece of computer equipment used to process data.
130,What is a formal model of computation capable of performing any computation according to its complexity?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model) according to its complexity.
131,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the Turing Test."
132,What is a piece of computer hardware used to process data?,A Graphics Processing Unit (GPU) is a piece of computer hardware that is used to process data.
133,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have"
134,What is changing the way we live and work?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live and work."
135,"What is the new type of robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of robot."
136,What is a piece of computer equipment that is used to process data?,A graphics processing unit (GPU) is a piece of computer equipment that is used to process data.
137,What is a data structure that relates a value called key to one or more other elements?,"A Hash Table is a data structure that relates a value called ""key"" to one or more other elements."
138,What does this paper describe how to train?,This paper describes how to train an artificial intelligence model.
139,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behavior that a person would have, doing the same thing but automatically."
140,What is another name for virtual reality?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular technologies in the world today.
141,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting""."
142,What does Ahmed Rashid believe is important in computer science?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in computer science."
143,What are rules of association?,Association rules are a set of rules that govern the classification of data.
144,"In this paper, we show how to train what to predict the likelihood of a given outcome?","In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a given outcome."
145,Hash Trees and Merkle Trees are two types of data structures in the Blockchain.,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain.
146,In what language will we solve a factorial?,In this lesson we are going to learn how to solve a factorial in Prolog.
147,Ahmed Rashid looks at one of the most common problems faced by African journalists.,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at one of the most common problems faced by African journalists:"
148,What type of scientist is there a growing demand for?,There is a growing demand for data scientists across the world.
149,Ahmed Rashid looks at what revolution in Africa?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution in Africa."
150,"What is the name of the robot created by scientists at the University of California, Berkeley?","Scientists at the University of California, Berkeley, have created a new type of robot."
151,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by a algorithm is followed by a reinforcement (positive or negative).
152,What is one of the most common problems faced by African journalists?,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at one of the most common problems faced by African journalists:"
153,What does this paper describe how to train?,This paper describes how to train an artificial intelligence (AI) model.
154,What will you learn about in this tutorial?,"In this tutorial, you will learn about sugar coding and how to use it in your programming."
155,"What is a technique called that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares this model with other users."
156,In what program can you solve a factorial?,In this tutorial I will show you how to solve a factorial in Prolog.
157,"What is the name of the new type of living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a xenobot."
158,What could be used to make bank transfers without a bank?,"If we talk about bank transfers, these could be done without the need for a centralized computer (a bank)."
159,What does Ahmed Rashid look at in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of the tree."
160,What is a piece of computer equipment that is used to process data?,A Graphics Processing Unit (GPU) is a piece of computer equipment that is used to process data.
161,What is a technique that allows to train an algorithm in a way using its own data?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local)."
162,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing but automatically."
163,"What is the name of the new type of robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of robot."
164,What does Ahmed Rashid look at in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of life."
165,What type of computer program performs repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behavior that a person would have, doing the same thing, but automatically."
166,What will we learn about in this lesson?,"In this lesson, we are going to learn about sugar coding and how to use it."
167,What is AR also known as?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular technologies in the world today.
168,What do we train to predict the likelihood of a problem being solved?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a problem being solved."
169,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement ( positive or negative).
170,This paper describes how to train an artificial intelligence (AI) model.,This paper describes how to train an artificial intelligence (AI) model.
171,What is a particular type of artificial neural network called?,Autoencoders are a particular type of artificial neural network that is divided into two part: the encoder and the decoder.
172,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology today.
173,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of the tree."
174,What is changing the way we live and work?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live and work."
175,What type of models are an important part of artificial intelligence?,Generative models are an important part of artificial intelligence.
176,What does Ahmed Rashid look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at how to make a tree."
177,What is a set of rules that can be used to classify data?,Association rules are a set of rules that can be used to classify data.
178,What is the term for computing that uses resources responsibly?,Green Computing refers to computing that makes responsible use of resources.
179,Graph theory is a theory of how data is organized?,Graph theory is a theory of how data is organised.
180,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot, a Xenobot."
181,What is a set of rules that can be used to classify data sets?,Association rules are a set of rules that can be used to classify data sets.
182,What is the second part of an artificial neural network?,Autoencoders are a particular type of artificial neural network that is divided into two part: the encoder and the decoder.
183,What are there many different types of?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have"
184,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a Xenobot."
185,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in computer science."
186,What branch of science deals with the analysis of large amounts of data?,Data Science is a branch of science that deals with the analysis of large amounts of data.
187,What type of models are an important part of computer science?,Generative models are an important part of computer science.
188,What is a computer program that performs repetitive tasks?,A robot is a computer program capable of performing repetitive tasks.
189,What type of data is big data?,There are two types of data: smart data and big data.
190,Ahmedou Ould-Abdallah looks at what test?,"In our series of letters from African journalists, film-maker and columnist Ahmedou Ould-Abdallah looks at the Turing Test."
191,"In this tutorial, you will learn about what?","In this tutorial, you will learn about sugar coding and how to use it in your programming."
192,Big data is what type of data?,There are two types of data: smart data and big data.
193,What term has been gaining popularity?,The term Data Science has been gaining popularity in recent years.
194,What is a piece of computer equipment used to process data?,A graphics processing unit (GPU) is a piece of computer equipment used to process data.
195,What does Ahmed Rashid look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decision."
196,What type of models are an important part of artificial intelligence and computer science?,Generative models are an important part of artificial intelligence and computer science.
197,"What does Ahmed Rashid call the problem of ""overfitting""?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting""."
198,A machine that is capable of performing any computation is called what?,A Turing machine is a machine that is capable of performing any computation (that a computer is capable of performing this theoretical model).
199,Machine learning is a branch of what?,Machine learning is a branch within AI that allows a computer to learn based on examples.
200,What field of study is booming?,The world of data science is booming.
201,"In this course, we will learn how to use what to solve computer science problems?",In this course we are going to learn how to use a tree to solve some common problems in computer science.
202,What type of system has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine...
203,What is a type of artificial neural network that is divided into two parts?,Autoencoders are a type of artificial neural network that is divided into two parts: the encoder and the decoder.
204,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decisions."
205,What type of scientist is needed to extract useful information from large amounts of data?,There is a growing demand for data scientists who are able to extract useful information from large amounts of data.
206,"What is a data structure that relates a value called ""key"" to one or more elements called?","A Hash Table is a data structure that relates a value called ""key"" to one or more elements."
207,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement ( positive or negative).
208,What does Farai Sevenzo look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live and work."
209,What are there many different types of?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have one thing in common - they all have"
210,What is a type of machine learning whereby a decision is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision is followed by a reinforcement (positive or negative).
211,What is another name for virtual reality?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world today.
212,Graph theory is a theory of how data is organised?,Graph theory is a theory of how data is organised.
213,"What is the name of the new type of living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a  Xenobot."
214,Hash Trees and Merkle Trees are two types of data structures that can be used in blockchain technology.,Hash Trees and Merkle Trees are two types of data structures that can be used in Blockchain technology.
215,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have a"
216,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a xenobot."
217,DeepMind has passed what test?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, the BBC reports."
218,What is a data structure that relates a value called key to one or more other elements?,A Hash Table is a data structure that relates a value called key to one or more other elements.
219,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing, but automatically."
220,What is AR also known as?,Augmented Reality (AR) and Virtual Reality (VR) are two of the hottest technologies in the world of technology.
221,"In this paper, we show how to train an AI model to predict the likelihood of a problem being solved?","In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a problem being solved."
222,What type of algorithm is used to solve a problem?,Sequence of instructions to solve a problem.
223,In this class we will learn how to use what to solve some common problems in computer science?,In this class we are going to learn how to use a tree to solve some common problems in computer science.
224,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning wherein a decision made by an algorithm is followed by a reinforcement (positive or negative).
225,In what program will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in PROLOG.
226,In what program will I show you how to solve a factorial using two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in PROLOG.
227,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology.
228,What does Ahmedou Ould-Abdallah call sugar code?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the most popular letters from the continent."
229,What does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverses."
230,What is a data structure that relates a value called key to one or more other elements called?,A Hash Table is a data structure that relates a value called key to one or more other elements.
231,What report has Research and Markets added to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to its offering."
232,In which language will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in the Prolog language.
233,What is the hierarchy of a Christmas tree?,The hierarchy of a Christmas tree is an interesting concept.
